0,1,2,3,4,5,6,7,8,9
0.0,0.581,0.604,0.639,0.533,0.268,0.277,0.388,1.54,0.828
0.581,0.0,0.936,0.675,0.315,0.711,0.434,0.758,1.755,1.294
0.604,0.936,0.0,0.317,0.693,0.853,0.57,0.25,1.381,0.562
0.639,0.675,0.317,0.0,0.398,0.873,0.372,0.265,1.53,0.841
0.533,0.315,0.693,0.398,0.0,0.749,0.274,0.465,1.676,1.135
0.268,0.711,0.853,0.873,0.749,0.0,0.523,0.645,1.403,0.864
0.277,0.434,0.57,0.372,0.274,0.523,0.0,0.354,1.632,1.014
0.388,0.758,0.25,0.265,0.465,0.645,0.354,0.0,1.5,0.757
1.54,1.755,1.381,1.53,1.676,1.403,1.632,1.5,0.0,1.004
0.828,1.294,0.562,0.841,1.135,0.864,1.014,0.757,1.004,0.0
