0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.581,0.604,0.639,0.533,0.268,0.277,0.388,1.54,0.828,0.76,0.293,0.4,0.313,0.218,0.399,0.317,0.86,0.223,0.437,0.595,0.262,0.049,0.517,0.491,0.35,0.886,1.175,0.469,0.711,0.615,0.528,0.502,1.049,0.889,0.801,1.224,0.271,0.773,0.796,0.867,0.242,0.375,0.212,0.215,1.145,0.592,0.73,1.124,0.398,0.557,0.439,0.071,0.872,0.696,0.62,0.353,0.14,0.865,1.049,0.512,0.416,0.669,0.218,0.239,0.48,0.98,0.568,0.509,0.285,0.294,0.045,0.517,0.187,1.06,0.723,0.97,0.018,0.8,0.918,0.612,0.346,1.493,0.216,0.208,0.22,0.388,0.236,0.204,0.641,1.432,1.527,0.377,0.255,0.731,0.471,0.472,0.962,0.406,0.99
0.581,0.0,0.936,0.675,0.315,0.711,0.434,0.758,1.755,1.294,0.833,0.538,0.405,0.287,0.673,0.243,0.556,0.877,0.559,0.153,0.768,0.34,0.628,0.07,0.183,0.451,1.063,1.514,0.297,0.966,0.035,0.981,0.21,1.063,0.885,1.066,0.979,0.715,0.924,0.534,1.024,0.495,0.913,0.464,0.47,0.916,0.351,1.048,1.39,0.189,0.707,0.147,0.532,0.878,0.541,0.756,0.892,0.644,1.075,1.031,0.524,0.171,0.79,0.43,0.372,0.922,0.736,0.083,0.946,0.317,0.409,0.619,0.263,0.474,1.063,0.67,0.664,0.564,0.515,0.857,0.804,0.435,1.694,0.385,0.774,0.379,0.429,0.644,0.763,0.065,1.611,1.695,0.874,0.417,1.218,0.553,0.852,0.928,0.219,1.371
0.604,0.936,0.0,0.317,0.693,0.853,0.57,0.25,1.381,0.562,1.262,0.822,0.607,0.655,0.805,0.753,0.455,1.353,0.444,0.822,0.215,0.646,0.569,0.883,0.824,0.56,1.401,0.845,0.708,0.137,0.959,0.904,0.827,1.529,1.381,0.288,0.914,0.366,1.297,0.446,1.382,0.778,0.518,0.758,0.756,0.739,0.658,1.255,0.972,0.797,0.291,0.831,0.534,1.366,0.457,1.135,0.551,0.734,0.383,0.644,0.491,0.813,0.176,0.568,0.623,1.007,0.431,0.909,1.004,0.649,0.595,0.64,0.791,0.747,0.681,0.309,0.395,0.606,0.487,0.377,0.169,0.576,1.172,0.595,0.477,0.584,0.583,0.817,0.591,0.983,0.989,1.156,0.258,0.691,0.468,0.462,1.042,1.447,0.745,0.578
0.639,0.675,0.317,0.0,0.398,0.873,0.372,0.265,1.53,0.841,1.252,0.879,0.308,0.618,0.83,0.466,0.339,1.319,0.43,0.545,0.104,0.439,0.598,0.615,0.559,0.301,1.313,1.082,0.416,0.383,0.702,0.882,0.564,1.422,1.338,0.553,0.833,0.385,1.251,0.178,1.305,0.836,0.521,0.813,0.813,0.688,0.359,1.189,0.87,0.516,0.089,0.554,0.572,1.327,0.145,1.15,0.555,0.764,0.592,0.613,0.182,0.533,0.143,0.428,0.402,0.988,0.419,0.648,0.981,0.535,0.353,0.672,0.506,0.796,0.669,0.096,0.394,0.642,0.182,0.358,0.15,0.304,1.349,0.512,0.492,0.594,0.283,0.845,0.608,0.728,1.168,1.325,0.267,0.753,0.754,0.182,1.032,1.381,0.55,0.835
0.533,0.315,0.693,0.398,0.0,0.749,0.274,0.465,1.676,1.135,1.111,0.803,0.148,0.547,0.712,0.139,0.244,1.158,0.325,0.215,0.498,0.352,0.488,0.26,0.446,0.201,1.102,1.344,0.068,0.746,0.347,0.718,0.472,1.202,1.168,0.884,0.883,0.411,1.074,0.279,1.103,0.761,0.617,0.733,0.737,0.781,0.062,0.992,1.128,0.159,0.425,0.174,0.471,1.161,0.256,1.03,0.593,0.651,0.909,0.899,0.22,0.162,0.532,0.333,0.311,0.826,0.523,0.346,0.816,0.456,0.257,0.562,0.114,0.707,0.943,0.403,0.476,0.539,0.285,0.654,0.54,0.204,1.552,0.424,0.469,0.511,0.16,0.732,0.483,0.376,1.409,1.535,0.594,0.683,1.057,0.248,0.88,1.194,0.486,1.143
0.268,0.711,0.853,0.873,0.749,0.0,0.523,0.645,1.403,0.864,0.54,0.352,0.635,0.485,0.055,0.62,0.568,0.673,0.481,0.574,0.838,0.443,0.314,0.652,0.646,0.592,0.778,1.004,0.689,0.954,0.745,0.362,0.657,0.987,0.716,1.04,1.418,0.532,0.587,1.004,0.729,0.372,0.385,0.346,0.372,1.343,0.805,0.64,1.045,0.595,0.799,0.578,0.335,0.692,0.915,0.372,0.352,0.131,1.099,1.265,0.747,0.589,0.907,0.469,0.484,0.321,1.184,0.707,0.352,0.453,0.537,0.234,0.724,0.287,1.276,0.949,1.166,0.263,1.004,1.137,0.855,0.587,1.397,0.386,0.426,0.395,0.626,0.087,0.305,0.767,1.388,1.466,0.638,0.438,0.96,0.711,0.241,0.825,0.569,0.823
0.277,0.434,0.57,0.372,0.274,0.523,0.0,0.354,1.632,1.014,0.949,0.562,0.129,0.281,0.479,0.194,0.13,1.019,0.133,0.286,0.375,0.097,0.231,0.367,0.328,0.075,0.993,1.293,0.207,0.614,0.468,0.64,0.337,1.117,1.036,0.743,1.001,0.305,0.932,0.545,0.987,0.514,0.533,0.485,0.488,0.913,0.335,0.856,1.153,0.249,0.304,0.291,0.208,1.025,0.437,0.841,0.51,0.409,0.762,0.809,0.242,0.267,0.405,0.06,0.065,0.638,0.737,0.414,0.63,0.186,0.027,0.31,0.264,0.459,0.821,0.461,0.732,0.282,0.551,0.667,0.417,0.071,1.546,0.154,0.373,0.245,0.116,0.498,0.364,0.496,1.441,1.55,0.487,0.427,0.924,0.198,0.69,1.08,0.239,1.103
0.388,0.758,0.25,0.265,0.465,0.645,0.354,0.0,1.5,0.757,1.085,0.649,0.383,0.477,0.597,0.541,0.228,1.174,0.223,0.625,0.223,0.445,0.346,0.698,0.653,0.337,1.195,1.056,0.487,0.379,0.787,0.673,0.66,1.332,1.2,0.506,1.038,0.123,1.1,0.434,1.179,0.602,0.271,0.577,0.577,0.912,0.424,1.04,0.887,0.592,0.177,0.63,0.318,1.185,0.323,0.96,0.306,0.524,0.588,0.814,0.254,0.609,0.307,0.356,0.415,0.788,0.667,0.736,0.783,0.459,0.38,0.424,0.572,0.558,0.838,0.359,0.642,0.392,0.437,0.609,0.245,0.354,1.366,0.395,0.235,0.393,0.359,0.613,0.357,0.812,1.226,1.366,0.139,0.513,0.662,0.226,0.834,1.261,0.57,0.82
1.54,1.755,1.381,1.53,1.676,1.403,1.632,1.5,0.0,1.004,1.097,1.55,1.647,1.651,1.442,1.697,1.589,0.912,1.58,1.72,1.487,1.657,1.528,1.739,1.716,1.63,1.295,0.728,1.682,1.334,1.761,1.194,1.716,1.715,0.99,1.202,0.83,1.516,0.904,1.572,1.186,1.568,1.386,1.564,1.574,1.086,1.662,0.958,0.931,1.712,1.522,1.723,1.573,0.95,1.584,1.273,1.393,1.479,1.151,1.032,1.604,1.717,1.465,1.629,1.65,1.177,1.403,1.745,1.159,1.654,1.642,1.516,1.708,1.547,0.96,1.521,1.487,1.547,1.588,1.341,1.465,1.635,0.563,1.635,1.473,1.626,1.639,1.452,1.459,1.768,1.052,0.846,1.436,1.61,1.061,1.593,1.208,1.205,1.688,0.929
0.828,1.294,0.562,0.841,1.135,0.864,1.014,0.757,1.004,0.0,1.284,0.858,1.056,1.047,0.811,1.169,0.926,1.411,0.906,1.215,0.751,1.065,0.804,1.256,1.192,1.014,1.556,0.503,1.142,0.501,1.308,0.983,1.191,1.715,1.454,0.317,0.841,0.781,1.381,0.954,1.517,0.888,0.601,0.88,0.897,0.601,1.112,1.379,1.204,1.201,0.813,1.226,0.89,1.432,0.959,1.126,0.626,0.741,0.264,0.523,0.975,1.213,0.722,1.005,1.052,1.069,0.688,1.266,1.074,1.054,1.036,0.786,1.209,0.848,0.577,0.838,0.833,0.841,0.988,0.565,0.713,1.026,0.734,1.015,0.703,0.994,1.036,0.815,0.682,1.327,1.093,0.88,0.639,0.964,0.099,0.948,1.084,1.557,1.126,0.718
