0,1,2,3,4,5,6,7,8,9
0.0,55.556,41.721,34.085,51.162,14.259,21.875,27.912,58.46,52.699
55.556,0.0,66.146,58.51,39.319,69.815,33.681,52.337,86.548,77.124
41.721,66.146,0.0,18.816,41.915,47.185,35.081,13.809,40.239,16.694
34.085,58.51,18.816,0.0,23.099,42.322,27.445,19.208,59.055,35.51
51.162,39.319,41.915,23.099,0.0,65.421,29.287,42.307,82.154,58.609
14.259,69.815,47.185,42.322,65.421,0.0,36.134,33.376,63.924,58.163
21.875,33.681,35.081,27.445,29.287,36.134,0.0,21.272,52.867,46.059
27.912,52.337,13.809,19.208,42.307,33.376,21.272,0.0,39.847,24.787
58.46,86.548,40.239,59.055,82.154,63.924,52.867,39.847,0.0,23.545
52.699,77.124,16.694,35.51,58.609,58.163,46.059,24.787,23.545,0.0
