0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,55.556,41.721,34.085,51.162,14.259,21.875,27.912,58.46,52.699,32.335,37.117,32.217,23.65,11.478,45.747,16.621,31.049,11.423,46.952,35.807,22.977,5.667,50.036,31.779,25.376,35.458,50.707,46.972,45.664,56.037,22.591,35.004,37.861,32.169,50.717,58.467,21.223,31.201,52.845,34.526,34.041,24.828,28.599,31.454,55.425,53.049,32.268,33.414,48.726,32.23,51.536,5.399,31.622,43.446,33.463,22.518,7.853,52.457,55.667,31.073,50.106,38.983,18.592,23.61,23.994,47.759,46.343,24.424,17.864,24.642,3.019,61.27,21.043,56.598,36.921,60.677,1.461,57.511,48.321,37.587,26.284,53.114,15.829,19.439,12.865,29.56,11.125,13.413,60.001,45.58,51.113,32.312,32.016,52.726,26.12,23.478,34.52,26.559,42.72
55.556,0.0,66.146,58.51,39.319,69.815,33.681,52.337,86.548,77.124,83.098,60.257,36.393,41.488,67.034,27.674,39.819,86.605,44.133,16.619,60.232,32.579,55.658,6.713,23.777,36.068,91.014,81.228,34.846,70.089,5.889,78.147,24.98,93.417,87.725,75.142,82.892,49.97,86.757,59.689,90.082,57.75,64.369,57.597,56.715,79.85,44.011,87.824,88.97,22.993,56.655,19.443,50.157,87.178,56.025,77.992,64.744,63.409,76.882,80.092,47.538,21.549,63.408,36.964,31.946,79.55,71.462,9.213,79.98,37.692,30.914,58.575,33.103,58.768,81.023,61.346,67.981,55.03,58.566,72.746,62.012,34.961,88.919,39.727,57.419,44.341,37.01,66.681,61.558,7.685,91.317,90.817,56.737,51.361,77.151,46.922,79.034,90.076,32.286,80.421
41.721,66.146,0.0,18.816,41.915,47.185,35.081,13.809,40.239,16.694,74.056,78.838,29.753,65.371,47.37,38.472,26.327,70.608,30.899,49.527,9.672,45.951,36.054,59.433,73.082,30.078,46.416,34.919,37.725,3.943,72.035,31.838,76.725,53.493,68.274,8.996,33.239,20.498,54.804,43.598,49.303,75.762,18.06,70.32,73.175,33.482,43.802,41.515,42.661,43.153,11.51,46.703,40.982,68.932,34.199,75.184,19.203,45.213,10.736,17.118,21.826,44.597,12.435,38.797,41.097,38.182,38.512,71.745,36.164,55.186,35.565,41.146,52.023,62.764,15.346,24.935,51.43,43.182,48.264,22.786,8.299,31.185,42.61,47.725,22.282,54.586,29.136,50.861,28.308,73.831,45.008,44.508,9.409,73.737,11.005,19.224,46.205,64.261,68.28,34.112
34.085,58.51,18.816,0.0,23.099,42.322,27.445,19.208,59.055,35.51,66.42,71.202,22.117,57.735,39.734,30.836,18.691,62.972,23.263,41.891,9.144,38.315,28.418,51.797,65.446,22.442,63.521,53.735,23.664,15.447,64.399,50.654,69.089,65.924,60.638,17.057,24.382,22.477,59.264,24.782,62.589,68.126,36.876,62.684,65.539,21.34,24.986,60.331,61.477,35.517,7.306,39.067,33.346,61.296,15.383,67.548,37.251,37.577,18.372,21.582,10.972,36.961,6.381,31.161,33.461,52.057,19.696,64.109,52.487,47.55,27.929,33.51,33.207,55.128,22.513,6.119,32.614,35.546,29.448,14.236,10.517,23.549,61.426,40.089,29.926,46.95,21.5,43.225,34.065,66.195,63.824,63.324,25.55,66.101,28.751,11.588,51.541,62.583,60.644,52.928
51.162,39.319,41.915,23.099,0.0,65.421,29.287,42.307,82.154,58.609,78.704,55.863,18.945,38.544,62.64,11.645,34.541,82.211,39.739,22.7,32.243,28.185,51.264,32.606,46.255,25.786,86.62,76.834,4.473,38.546,45.208,73.753,49.898,89.023,83.331,40.156,43.573,45.576,82.363,20.37,85.688,53.356,59.975,53.203,52.321,40.531,4.692,83.43,84.576,16.326,30.405,19.876,45.763,82.784,16.706,73.598,60.35,59.015,37.659,40.773,20.089,17.77,29.48,32.57,27.552,75.156,32.143,44.918,75.586,33.298,26.52,54.181,10.108,54.374,41.704,22.027,28.662,50.636,19.247,33.427,33.616,24.878,84.525,35.333,53.025,39.947,21.602,62.287,57.164,47.004,86.923,86.423,48.649,46.967,51.85,25.042,74.64,85.682,41.453,76.027
14.259,69.815,47.185,42.322,65.421,0.0,36.134,33.376,63.924,58.163,26.871,31.653,46.476,28.327,2.781,60.006,30.88,23.423,25.682,61.211,41.271,37.236,14.157,64.295,46.038,39.635,21.199,56.171,61.231,51.128,70.296,18.343,44.835,23.602,21.089,56.181,63.931,26.687,16.942,67.104,20.267,28.577,30.292,23.135,25.99,60.889,67.308,18.009,38.731,62.985,37.694,65.795,19.658,21.747,57.705,27.999,27.982,6.406,57.921,61.131,45.332,64.365,44.447,32.851,37.869,9.735,62.018,60.602,11.021,32.123,38.901,11.24,75.529,15.579,62.062,48.441,74.936,14.785,71.77,53.785,43.051,40.543,58.578,30.088,24.903,25.474,43.819,3.676,18.877,74.26,51.044,56.577,37.776,26.552,58.19,40.379,9.219,20.261,37.529,48.184
21.875,33.681,35.081,27.445,29.287,36.134,0.0,21.272,52.867,46.059,49.417,43.757,10.342,30.29,33.353,23.872,8.754,52.924,10.452,25.077,29.167,10.87,21.977,28.161,38.001,5.003,57.333,47.547,25.097,39.024,36.954,44.466,41.644,59.736,54.044,44.077,51.827,16.289,53.076,30.97,56.401,40.681,30.688,35.239,38.094,48.785,31.174,54.143,55.289,26.851,25.59,29.661,16.476,53.497,24.96,44.311,31.063,29.728,45.817,49.027,16.473,28.231,32.343,3.716,6.016,45.869,40.397,36.664,46.299,20.105,2.767,24.894,39.395,27.683,49.958,30.281,38.802,21.349,35.636,41.681,30.947,4.409,55.238,12.644,23.738,19.505,7.685,33.0,27.877,38.75,57.636,57.136,25.672,38.656,46.086,15.857,45.353,56.395,33.199,46.74
27.912,52.337,13.809,19.208,42.307,33.376,21.272,0.0,39.847,24.787,60.247,65.029,23.362,51.562,33.561,36.892,12.518,56.799,17.09,38.097,10.064,32.142,22.245,45.624,59.273,16.521,44.313,34.527,38.117,17.752,58.226,31.446,62.916,46.716,54.465,22.805,33.631,6.689,40.995,43.99,43.381,61.953,17.668,56.511,59.366,33.874,44.194,41.123,42.269,39.871,11.902,42.681,27.173,55.123,34.591,61.375,18.043,31.404,24.545,27.755,22.218,41.251,12.827,24.988,27.288,32.849,38.904,57.936,33.279,41.377,21.756,27.337,52.415,48.955,28.686,25.327,51.822,29.373,48.656,23.178,9.675,17.429,42.218,33.916,10.718,40.777,20.705,37.052,14.857,60.022,44.616,44.116,6.342,59.928,24.814,17.265,32.396,50.452,54.471,33.72
58.46,86.548,40.239,59.055,82.154,63.924,52.867,39.847,0.0,23.545,90.795,95.577,63.209,82.11,64.109,76.739,47.613,87.347,47.638,77.944,49.911,62.69,52.793,81.028,89.821,56.368,63.155,7.753,77.964,43.608,88.774,45.581,93.464,70.232,85.013,41.998,73.478,37.237,71.543,83.837,66.042,92.501,33.632,87.059,89.914,73.721,84.041,57.105,25.193,79.718,51.749,82.528,57.721,85.671,74.438,91.923,35.942,61.952,44.495,57.357,62.065,81.098,52.674,55.536,57.836,54.921,78.751,88.484,52.903,71.925,55.634,57.885,92.262,79.503,55.585,65.174,91.669,59.921,88.503,63.025,48.538,57.276,5.346,64.464,39.021,71.325,60.552,67.6,45.047,90.993,12.88,7.347,33.505,90.476,30.304,57.112,62.944,81.0,85.019,15.74
52.699,77.124,16.694,35.51,58.609,58.163,46.059,24.787,23.545,0.0,85.034,89.816,40.731,76.349,58.348,53.194,37.305,81.586,41.877,60.505,26.366,56.929,47.032,70.411,84.06,41.056,57.394,18.225,54.419,20.063,83.013,39.82,87.703,64.471,79.252,18.453,49.933,31.476,65.782,60.292,60.281,86.74,27.871,81.298,84.153,50.176,60.496,51.344,25.967,56.173,28.204,58.983,51.96,79.91,50.893,86.162,30.181,56.191,20.95,33.812,38.52,57.553,29.129,49.775,52.075,49.16,55.206,82.723,47.142,66.164,46.543,52.124,68.717,73.742,32.04,41.629,68.124,54.16,64.958,39.48,24.993,42.163,25.916,58.703,33.26,65.564,40.114,61.839,39.286,84.809,28.314,27.814,20.387,84.715,6.759,33.567,57.183,75.239,79.258,17.418
