0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.0,26.233,30.656,41.968,62.805,84.19,30.862,24.512,88.605,90.089,12.103,90.182,5.806,38.904,89.882,24.553,61.096,24.187,8.042,52.572,23.86,9.03,62.378,58.985,54.847,69.236,25.999,62.872,54.713,92.264,26.498,48.289,26.741,58.104,89.999,52.885,81.268,29.138,84.311,62.774,28.728,49.488,28.705,32.271,67.124,57.627,71.044,26.636,44.091,23.759,86.131,19.89,36.231,44.906,35.216,38.193,77.242,59.357,30.097,45.849,47.791,13.281,33.864,61.016,27.526,46.76,34.727,72.264,15.7,74.526,85.335,81.753,84.43,84.06,71.196,88.04,82.648,58.529,76.44,63.583,18.946,55.625,60.968,48.089,35.118,57.765,54.647,83.153,85.779,32.452,45.029,50.337,35.037,48.995,67.563,1.744,60.121,92.908,69.092,55.574,69.463,29.691,85.939,75.251,49.022,14.535,92.488,12.753,9.121,67.007,59.596,72.085,89.661,34.835,33.66,55.804,19.35,19.944,36.354,58.566,56.392,93.187,39.912,46.085,29.044,83.434,51.508,60.793,69.052,45.625,59.744,24.586,53.454,30.36,60.322,39.037,62.698,55.479,24.701,34.777,71.593,72.502,52.851,69.528,52.672,64.36,56.784,8.86,50.822,73.559,76.585,88.788,13.188,94.746,55.281,49.32,38.241,70.882,12.485,74.494,92.765,50.426,71.725,74.661,53.056,3.625,65.685,36.695,72.716,13.819,93.55,90.838,25.069,41.121,30.667,35.281,31.749,88.752,87.743,15.51,37.285,27.777,82.335,51.171,61.986,86.811,38.413,39.185,32.508,8.809,79.771,65.841,43.397,37.062,12.036,72.193,84.33,57.408,66.254,5.6
26.233,0.0,4.423,15.735,36.572,57.957,23.724,7.405,62.372,63.856,25.498,63.949,20.427,12.671,63.649,18.033,58.045,2.046,18.516,42.464,17.849,28.098,36.145,67.044,74.343,43.003,45.495,36.639,74.209,66.031,38.579,67.785,7.245,41.432,63.766,37.313,55.035,21.98,58.078,36.541,41.932,68.984,48.201,51.767,61.97,35.124,44.811,46.132,49.187,11.629,59.898,6.343,43.942,18.673,54.712,11.96,67.514,40.102,28.736,19.616,67.287,32.777,18.208,34.783,47.022,50.039,9.747,46.031,35.196,58.355,77.624,55.52,58.197,57.827,45.89,61.807,56.559,32.296,67.858,41.17,38.442,29.392,56.295,21.856,16.842,31.532,28.414,73.378,59.546,51.948,39.442,69.833,20.619,68.491,69.383,24.776,59.413,66.675,42.859,75.07,46.637,49.187,59.706,61.656,68.518,19.238,66.255,26.872,20.204,40.774,79.092,45.852,63.896,20.831,53.156,36.414,18.027,13.202,16.858,32.333,30.159,66.954,13.679,65.581,2.811,57.201,60.225,57.113,42.819,65.121,53.944,33.827,27.221,4.127,78.871,26.199,36.465,63.569,30.246,42.162,45.36,46.269,72.347,43.295,28.818,38.711,76.28,24.322,24.589,56.506,63.556,62.555,32.172,68.513,74.777,68.816,24.0,44.649,31.981,74.793,66.532,24.193,45.492,75.744,26.823,29.858,39.452,29.478,46.483,15.846,67.317,77.823,3.982,28.333,50.163,21.165,5.516,64.165,61.51,21.85,17.789,36.329,56.102,70.667,35.753,60.578,15.395,12.952,52.004,17.424,53.538,39.608,51.797,19.607,31.532,45.96,58.097,76.904,40.021,20.633
30.656,4.423,0.0,11.312,32.149,53.534,28.147,11.828,57.949,59.433,29.921,59.526,24.85,8.248,59.226,22.456,56.483,6.469,22.939,40.902,16.287,26.536,31.722,65.482,72.781,38.58,43.933,32.216,72.647,61.608,37.017,66.223,9.286,39.87,59.343,35.751,50.612,26.403,53.655,32.118,40.37,67.422,46.639,50.205,60.408,33.562,40.388,44.57,47.625,16.052,55.475,10.766,42.38,14.25,53.15,9.265,65.952,38.54,27.174,15.193,65.725,31.215,22.631,30.36,45.46,48.477,8.185,41.608,33.634,56.793,76.062,51.097,53.774,53.404,44.328,57.384,54.997,27.873,66.296,39.608,36.88,24.969,54.733,17.433,15.28,27.109,23.991,71.816,55.123,50.386,37.88,68.271,25.042,66.929,67.821,29.199,57.851,62.252,38.436,73.508,45.075,47.625,55.283,60.094,66.956,17.676,61.832,31.295,24.627,36.351,77.53,41.429,62.334,25.254,51.594,34.852,22.45,17.625,18.42,27.91,25.736,62.531,9.256,64.019,1.612,52.778,58.663,55.551,38.396,63.559,52.382,32.265,22.798,3.889,77.309,24.637,32.042,62.007,28.684,40.6,40.937,41.846,70.785,38.872,27.256,37.149,74.718,28.745,21.575,54.944,61.994,58.132,30.61,64.09,73.215,67.254,22.438,40.226,32.723,73.231,62.109,19.77,41.069,74.182,22.4,34.281,35.029,33.901,42.06,16.837,62.894,76.261,5.587,26.771,48.601,25.588,6.467,62.603,58.828,26.273,20.896,34.767,51.679,69.105,33.61,56.155,13.833,8.529,50.442,21.847,49.115,35.185,50.235,18.045,29.97,41.537,53.674,75.342,35.598,25.056
41.968,15.735,11.312,0.0,20.837,42.222,39.459,23.14,48.046,48.121,41.233,48.214,36.162,3.064,47.914,33.768,49.887,17.781,34.251,34.306,18.108,32.938,20.41,58.886,66.185,27.268,42.463,20.904,66.051,50.296,30.421,59.627,20.598,33.274,48.031,29.155,39.3,37.715,42.343,28.04,33.774,60.826,40.043,43.609,53.812,26.966,29.076,37.974,41.029,27.364,44.163,22.078,35.784,15.7,46.554,3.775,59.356,31.944,20.578,12.927,59.129,29.834,33.943,20.654,44.729,41.881,7.241,30.296,36.765,50.197,69.466,39.785,42.462,42.092,37.732,46.072,48.401,16.561,59.7,33.012,43.677,13.657,48.137,6.121,8.684,15.797,12.679,65.22,43.811,43.79,31.284,61.675,36.354,60.333,61.225,40.511,51.255,50.94,27.124,66.912,38.479,41.029,43.971,53.498,60.36,27.433,50.52,42.607,35.939,28.249,70.934,30.117,55.738,36.566,44.998,28.256,33.762,28.937,25.016,18.082,18.179,51.219,15.65,57.423,12.924,41.466,52.067,48.955,27.084,56.963,45.786,25.669,11.486,11.608,70.713,18.041,20.73,55.411,22.088,34.004,29.625,30.534,64.189,27.56,20.66,30.553,68.122,40.057,28.171,48.348,55.398,46.82,28.78,52.778,66.619,60.658,15.842,28.914,44.035,66.635,50.797,8.458,29.757,67.586,11.088,45.593,23.717,45.213,30.748,28.149,51.582,69.665,16.899,20.175,42.005,36.9,13.063,56.007,52.232,37.585,32.208,28.171,41.268,62.509,27.014,44.843,7.237,4.644,43.846,33.159,37.803,23.873,43.639,11.449,35.072,30.225,42.362,68.746,24.286,36.368
62.805,36.572,32.149,20.837,0.0,21.385,60.296,43.977,41.491,34.888,62.07,27.377,56.999,23.901,31.339,54.605,43.332,38.618,55.088,27.751,38.945,53.775,11.482,52.331,63.338,33.692,63.3,13.57,64.906,30.676,36.307,56.725,41.435,26.719,27.194,22.6,31.411,58.552,27.79,34.595,34.077,54.271,56.758,37.054,47.257,20.411,8.239,40.015,34.474,48.201,23.326,42.915,29.229,22.255,42.415,24.612,52.801,25.389,32.708,19.482,52.574,50.671,54.78,14.099,65.566,35.326,28.078,15.577,57.602,43.642,62.911,32.352,25.376,33.176,31.177,36.564,41.846,11.768,53.145,26.457,64.514,17.501,41.582,14.716,27.687,6.755,15.04,58.665,22.974,62.986,24.729,55.12,57.191,53.778,54.67,61.348,44.7,30.103,14.99,60.357,31.924,55.57,28.513,46.943,56.362,48.27,41.993,63.444,56.776,21.694,64.379,11.267,49.183,57.403,64.59,21.701,54.599,49.774,35.005,24.637,11.624,30.382,22.893,51.114,33.761,22.079,45.512,42.4,15.981,59.476,39.231,38.219,9.351,32.445,64.158,23.768,13.247,48.856,38.104,28.028,14.324,23.821,57.634,6.723,14.105,23.998,61.567,60.894,34.726,41.793,48.843,25.983,49.617,33.248,60.064,54.103,24.564,20.834,64.872,60.08,36.313,12.379,8.92,61.031,9.749,66.43,20.877,66.05,18.219,48.986,30.745,63.11,37.736,21.684,58.415,57.737,31.056,49.452,45.677,58.422,53.045,35.028,34.713,55.954,20.459,24.006,24.392,23.62,40.998,53.996,16.966,12.88,37.084,25.743,55.909,20.973,21.525,62.191,3.449,57.205
84.19,57.957,53.534,42.222,21.385,0.0,81.681,65.362,36.844,30.241,83.455,5.992,78.384,45.286,35.986,75.99,38.685,60.003,76.473,31.618,60.33,75.16,21.812,47.684,84.723,38.339,84.685,21.318,86.291,35.323,57.692,78.11,62.82,26.086,19.056,31.305,36.058,79.937,23.143,39.242,55.462,49.624,78.143,57.106,42.61,26.563,13.146,61.4,40.099,69.586,9.414,64.3,47.959,39.284,63.8,45.997,48.154,24.833,54.093,38.341,49.255,72.056,76.165,23.174,86.951,37.43,49.463,11.926,78.987,38.995,58.264,36.999,30.023,37.823,26.53,31.917,37.199,25.661,48.498,21.81,85.899,28.565,36.935,36.101,49.072,26.425,29.543,54.018,23.685,84.371,39.161,51.941,78.576,60.082,50.023,82.733,40.053,10.167,15.098,55.71,27.277,76.955,33.16,42.296,77.747,69.655,37.346,84.829,78.161,17.183,59.732,15.914,44.536,78.788,85.975,28.386,75.984,71.159,56.39,29.284,27.798,33.212,44.278,72.499,55.146,26.726,40.865,37.753,15.138,80.861,34.584,59.604,30.736,53.83,59.511,45.153,21.492,44.209,59.489,49.413,12.597,19.174,52.987,14.662,31.518,19.83,56.92,82.279,39.373,37.146,44.196,4.875,71.002,28.601,55.417,49.456,45.949,16.187,86.257,55.433,31.666,33.764,12.465,56.384,31.134,87.815,25.524,87.435,13.572,70.371,11.014,58.463,59.121,43.069,79.8,79.122,52.441,44.805,41.03,79.807,74.43,56.413,30.066,60.726,22.204,5.538,45.777,45.005,62.383,75.381,4.75,18.349,40.793,47.128,77.294,16.326,7.799,57.544,17.936,78.59
30.862,23.724,28.147,39.459,60.296,81.681,0.0,16.319,86.096,87.58,18.759,87.673,29.636,36.395,87.373,6.309,69.411,21.678,22.82,53.83,29.215,39.464,59.869,78.41,85.709,66.727,56.861,60.363,85.575,89.755,49.945,79.151,18.861,55.595,87.49,50.376,78.759,1.744,81.802,60.265,53.298,80.35,59.567,63.133,73.336,55.118,68.535,57.498,60.553,12.095,83.622,17.381,55.308,42.397,66.078,35.684,78.88,56.848,40.102,43.34,78.653,44.143,5.516,58.507,58.388,61.405,32.218,69.755,46.562,72.017,88.99,79.244,81.921,81.551,68.687,85.531,80.139,56.02,79.224,61.074,49.808,53.116,67.661,45.58,32.609,55.256,52.138,84.744,83.27,63.314,50.808,81.199,4.175,79.857,80.749,29.118,70.779,90.399,66.583,86.436,66.954,60.553,83.43,73.022,79.884,30.604,89.979,18.109,21.741,64.498,90.458,69.576,87.152,3.973,64.522,53.295,11.512,10.918,25.291,56.057,53.883,90.678,37.403,76.947,26.535,80.925,71.591,68.479,66.543,76.487,65.31,45.193,50.945,27.851,90.237,37.565,60.189,74.935,41.612,53.528,69.084,69.993,83.713,67.019,50.163,61.851,87.646,22.002,48.313,71.05,74.922,86.279,43.538,92.237,86.143,80.182,35.732,68.373,43.347,86.159,90.256,47.917,69.216,87.11,50.547,29.949,63.176,5.833,70.207,27.212,91.041,89.189,22.56,39.699,61.529,4.419,29.24,86.243,85.234,15.352,7.251,47.695,79.826,82.033,59.477,84.302,35.904,36.676,63.37,27.83,77.262,63.332,63.163,34.553,42.898,69.684,81.821,88.27,63.745,30.219
24.512,7.405,11.828,23.14,43.977,65.362,16.319,0.0,69.777,71.261,18.093,71.354,23.286,20.076,71.054,10.628,63.061,5.359,16.47,47.48,22.865,33.114,43.55,72.06,79.359,50.408,50.511,44.044,79.225,73.436,43.595,72.801,2.542,46.448,71.171,42.329,62.44,14.575,65.483,43.946,46.948,74.0,53.217,56.783,66.986,40.14,52.216,51.148,54.203,4.224,67.303,8.967,48.958,26.078,59.728,19.365,72.53,45.118,33.752,27.021,72.303,37.793,10.803,42.188,52.038,55.055,15.899,53.436,40.212,63.371,82.64,62.925,65.602,65.232,52.368,69.212,63.82,39.701,72.874,46.186,43.458,36.797,61.311,29.261,21.858,38.937,35.819,78.394,66.951,56.964,44.458,74.849,13.214,73.507,74.399,22.768,64.429,74.08,50.264,80.086,51.653,54.203,67.111,66.672,73.534,24.254,73.66,19.467,15.391,48.179,84.108,53.257,70.833,13.426,58.172,41.43,10.622,5.797,11.842,39.738,37.564,74.359,21.084,70.597,10.216,64.606,65.241,62.129,50.224,70.137,58.96,38.843,34.626,11.532,83.887,31.215,43.87,68.585,35.262,47.178,52.765,53.674,77.363,50.7,33.844,45.532,81.296,16.917,31.994,61.522,68.572,69.96,37.188,75.918,79.793,73.832,29.016,52.054,36.997,79.809,73.937,31.598,52.897,80.76,34.228,23.599,46.857,22.073,53.888,20.862,74.722,82.839,6.241,33.349,55.179,13.76,12.921,69.924,68.915,14.445,12.773,41.345,63.507,75.683,43.158,67.983,20.411,20.357,57.02,21.48,60.943,47.013,56.813,24.623,36.548,53.365,65.502,81.92,47.426,23.869
88.605,62.372,57.949,48.046,41.491,36.844,86.096,69.777,0.0,6.603,87.87,39.541,82.799,49.701,72.83,80.405,27.509,64.418,80.888,36.033,64.745,79.575,30.009,29.62,89.138,75.183,89.1,27.921,90.706,72.167,62.107,82.525,67.235,30.501,17.788,35.72,72.902,84.352,13.701,76.086,59.877,44.771,82.558,61.521,21.481,30.978,48.656,65.815,44.514,74.001,46.258,68.715,52.374,63.746,68.215,50.412,11.363,29.248,58.508,60.973,53.67,76.471,80.58,27.589,91.366,41.845,53.878,25.914,83.402,14.079,21.42,73.843,66.867,74.667,17.409,4.927,5.957,53.259,12.165,25.022,90.314,58.992,27.637,42.067,53.487,34.736,56.531,17.174,60.529,88.786,43.576,56.356,82.991,64.497,21.042,87.148,28.484,26.677,26.501,42.324,19.142,81.37,70.004,13.354,82.162,74.07,3.883,89.244,82.576,21.598,38.555,52.758,7.692,83.203,90.39,32.801,80.399,75.574,73.062,66.128,32.213,70.056,63.696,76.914,59.561,63.57,37.097,27.812,25.51,85.276,28.861,64.019,46.991,58.531,28.283,49.568,54.738,33.126,63.904,53.828,27.167,17.67,43.054,45.67,35.933,24.245,37.014,86.694,76.217,15.046,12.02,31.969,75.417,8.243,36.984,52.203,50.364,20.657,90.672,18.589,5.178,39.979,35.318,19.54,37.011,92.23,62.368,91.85,23.272,74.786,25.83,21.619,63.536,47.484,84.215,83.537,61.109,7.961,4.186,84.222,78.845,60.828,6.778,65.141,26.619,31.306,50.192,52.69,66.798,79.796,41.594,54.371,45.208,51.543,81.709,20.518,44.643,37.895,42.949,83.005
90.089,63.856,59.433,48.121,34.888,30.241,87.58,71.261,6.603,0.0,89.354,32.938,84.283,51.185,66.227,81.889,28.993,65.902,82.372,37.517,66.229,81.059,27.711,31.104,90.622,68.58,90.584,27.217,92.19,65.564,63.591,84.009,68.719,31.985,11.185,37.204,66.299,85.836,7.098,69.483,61.361,46.255,84.042,63.005,22.965,32.462,42.053,67.299,45.998,75.485,39.655,70.199,53.858,57.143,69.699,51.896,17.913,30.732,59.992,54.37,55.154,77.955,82.064,29.073,92.85,43.329,55.362,19.311,84.886,15.563,28.023,67.24,60.264,68.064,18.893,2.049,7.441,46.656,18.257,26.506,91.798,52.389,29.121,42.0,54.971,32.324,49.928,23.777,53.926,90.27,45.06,57.84,84.475,65.981,22.526,88.632,29.968,20.074,20.997,43.808,20.626,82.854,63.401,14.838,83.646,75.554,7.105,90.728,84.06,23.082,40.039,46.155,14.295,84.687,91.874,34.285,81.883,77.058,66.459,59.525,33.697,63.453,57.093,78.398,61.045,56.967,38.581,29.296,21.037,86.76,30.345,65.503,40.388,59.729,29.767,51.052,48.135,34.61,65.388,55.312,20.564,17.587,44.538,39.067,37.417,25.729,38.498,88.178,69.614,16.53,13.955,25.366,76.901,4.657,38.468,53.687,51.848,19.207,92.156,25.192,2.676,39.663,28.715,26.143,37.033,93.714,55.765,93.334,17.373,76.27,19.227,28.222,65.02,48.968,85.699,85.021,58.34,14.564,10.789,85.706,80.329,62.312,7.754,66.625,28.103,24.703,51.676,50.904,68.282,81.28,34.991,47.768,46.692,53.027,83.193,17.896,38.04,39.379,36.346,84.489
