0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,60.688,42.733,44.151,53.286,15.27,22.861,29.283,66.167,53.223,42.475,37.414,34.368,27.518,12.793,45.862,22.655,42.409,15.735,47.596,40.498,23.363,5.668,53.078,44.648,27.92,35.767,56.835,48.114,47.375,63.711,26.004,46.478,39.649,41.712,51.897,72.273,21.946,33.833,63.531,35.349,34.112,26.346,28.672,31.475,69.984,56.549,32.296,47.151,48.747,38.336,51.776,5.449,41.718,53.723,40.288,24.32,8.594,54.167,61.595,38.727,50.188,44.607,18.821,23.618,24.254,67.033,55.219,25.048,22.37,25.399,3.073,61.882,21.287,61.71,50.315,74.692,1.553,66.881,57.974,41.481,28.317,62.723,16.929,19.528,17.067,32.127,14.398,14.695,68.053,57.934,62.096,32.41,32.29,52.73,34.473,23.902,41.227,35.311,49.429
60.688,0.0,80.745,64.647,39.564,72.344,45.82,70.144,119.835,99.587,83.474,61.579,43.234,41.495,69.614,29.361,55.691,86.72,56.481,18.714,70.499,38.331,63.272,8.691,24.768,47.029,93.128,110.647,35.888,82.197,5.909,86.594,27.128,94.27,87.751,87.356,83.916,67.681,87.495,59.751,91.643,58.545,81.051,57.748,57.149,80.874,44.082,91.53,106.038,23.986,66.489,19.854,56.116,87.223,57.319,78.514,79.971,66.775,87.632,85.246,53.472,22.228,71.889,45.982,40.596,84.322,71.886,10.781,85.415,39.253,43.484,63.687,33.593,58.865,86.738,64.963,68.174,59.629,58.599,76.455,72.734,45.597,117.978,43.79,72.256,45.823,45.228,68.41,72.257,8.878,115.063,118.126,77.67,51.919,95.476,55.391,81.511,90.096,32.356,104.766
42.733,80.745,0.0,20.306,49.765,52.716,37.285,13.815,43.582,19.98,82.691,80.062,37.588,65.549,51.705,53.032,27.34,81.297,30.976,62.246,11.337,47.958,37.246,72.083,76.477,34.13,64.444,36.057,49.019,5.186,85.897,42.96,79.634,71.279,79.854,9.166,37.219,20.822,68.114,44.074,65.931,76.621,24.729,71.22,73.911,36.178,49.077,57.904,43.491,58.487,14.918,63.004,41.162,80.137,35.665,81.587,26.62,48.339,11.549,22.08,28.682,60.484,12.733,39.907,43.535,50.624,38.877,80.768,49.412,55.855,38.754,42.935,61.63,63.989,21.373,25.393,51.463,44.054,48.856,23.723,9.272,35.535,44.107,48.177,24.898,54.621,35.518,54.789,32.154,89.593,45.173,45.488,11.57,73.91,14.826,25.579,56.62,77.75,69.705,34.127
44.151,64.647,20.306,0.0,30.031,57.925,28.134,20.176,63.888,40.093,86.623,78.379,22.504,59.407,56.056,35.547,21.915,86.37,28.602,45.953,9.305,38.651,40.011,56.265,65.551,22.602,74.423,56.247,30.291,19.305,70.212,54.914,69.135,80.305,85.468,23.824,28.329,25.897,75.743,24.81,75.19,74.543,38.02,69.538,71.759,25.894,28.888,68.637,61.482,41.09,7.538,45.576,40.319,85.554,15.582,84.338,39.006,51.981,23.442,21.649,11.377,43.035,8.044,32.569,33.756,60.357,23.573,66.664,59.739,48.631,28.138,45.706,41.812,63.382,22.779,6.744,33.961,44.964,29.448,14.779,11.085,23.616,64.306,41.914,33.318,49.881,21.552,58.345,39.847,73.497,64.851,65.573,25.611,70.278,34.265,11.75,64.374,84.398,60.833,53.628
53.286,39.564,49.765,30.031,0.0,68.515,30.428,44.265,92.991,69.744,91.787,76.327,19.17,53.494,65.923,12.842,34.545,93.142,39.947,23.087,38.431,34.061,52.088,32.625,50.152,25.99,88.807,84.77,6.129,49.321,45.47,73.781,53.978,92.931,93.069,53.813,44.428,46.013,86.985,20.439,88.587,72.398,60.792,68.718,69.897,41.399,5.057,84.521,86.549,16.507,35.0,19.88,47.902,92.876,18.402,88.063,60.83,61.813,53.19,47.721,21.705,17.801,38.07,34.7,31.028,76.009,32.323,45.176,76.161,43.738,27.922,56.041,11.866,65.177,49.448,27.812,30.2,53.212,20.267,38.513,40.559,25.257,92.764,41.051,53.219,48.645,21.725,66.763,57.183,47.828,92.18,93.706,51.673,66.381,64.185,26.171,77.114,93.502,49.963,80.959
15.27,72.344,52.716,57.925,68.515,0.0,38.107,40.598,66.078,58.561,29.975,33.065,49.638,33.662,2.787,60.635,37.264,28.819,30.411,61.256,52.954,37.256,18.009,65.451,52.822,43.169,21.213,57.319,63.258,57.761,74.559,20.147,53.692,24.43,27.668,61.601,85.482,33.257,18.576,78.497,20.377,31.019,30.778,26.163,29.105,83.397,71.818,19.257,43.209,63.114,51.449,65.797,20.613,27.828,68.583,29.169,28.438,6.703,64.231,73.398,53.588,64.417,57.16,33.905,38.355,13.26,81.256,65.39,14.993,33.104,40.599,12.76,76.842,19.098,73.22,64.366,89.545,15.317,81.972,70.963,53.525,43.586,61.614,30.093,27.818,26.527,47.391,4.831,20.604,78.896,55.388,60.349,41.332,32.335,59.752,49.115,9.271,26.497,43.051,49.337
22.861,45.82,37.285,28.134,30.428,38.107,0.0,24.94,74.029,54.6,62.937,51.195,11.634,31.28,35.545,24.112,10.21,63.743,11.258,28.94,29.316,10.926,21.999,37.23,39.27,6.106,58.443,64.828,25.38,40.107,50.325,44.902,42.543,62.509,63.423,45.397,55.775,21.863,56.622,42.172,58.166,47.268,35.673,42.588,44.516,53.055,33.755,54.4,61.367,28.038,25.614,31.857,17.501,63.307,32.99,59.764,34.886,31.407,46.576,49.232,18.867,29.792,32.344,4.959,6.261,45.974,47.978,44.079,46.312,20.501,2.809,25.622,39.448,37.359,50.032,32.686,53.557,22.834,45.014,42.901,31.248,5.884,72.188,14.015,26.969,22.228,9.716,36.579,28.688,54.361,69.557,72.404,32.155,42.507,51.313,16.415,46.697,63.497,33.228,59.046
29.283,70.144,13.815,20.176,44.265,40.598,24.94,0.0,50.209,29.667,70.388,66.427,28.284,51.825,39.24,44.377,14.731,69.415,17.282,52.222,12.791,35.108,23.981,61.461,63.552,23.187,55.017,41.373,41.939,18.146,74.943,34.855,66.56,61.296,68.187,22.906,45.438,7.445,57.316,44.6,56.051,62.931,17.935,57.552,60.205,43.64,44.971,48.953,42.607,49.505,12.661,53.886,27.392,68.388,34.787,68.891,18.832,35.572,24.981,32.817,22.73,51.474,16.944,26.818,31.022,40.904,43.351,69.007,40.09,42.346,26.88,29.804,55.833,50.42,32.72,26.882,54.132,30.531,49.053,30.883,13.005,24.611,49.168,34.626,13.663,40.845,25.761,42.096,20.759,78.858,47.987,49.845,7.719,60.109,26.586,18.094,45.77,66.534,56.346,36.828
66.167,119.835,43.582,63.888,92.991,66.078,74.029,50.209,0.0,24.24,90.861,99.127,78.466,93.661,67.013,94.536,64.2,87.347,63.784,102.306,54.811,82.721,61.166,111.21,109.581,73.275,63.313,9.403,91.576,45.447,124.318,46.349,111.92,70.567,85.021,42.706,73.478,52.197,71.543,86.987,66.136,96.88,40.287,91.747,94.734,73.783,92.596,57.119,25.309,99.71,58.017,104.095,68.235,85.673,79.136,92.32,42.039,66.132,44.898,57.425,71.425,101.681,56.16,74.45,79.539,55.365,79.575,117.516,53.309,86.949,76.36,64.29,104.836,84.217,55.616,68.641,92.873,67.705,91.783,63.835,52.836,74.681,5.848,79.673,48.694,82.878,75.967,70.459,51.514,128.385,13.735,8.497,42.501,97.077,30.842,67.492,63.391,81.077,100.859,16.89
53.223,99.587,19.98,40.093,69.744,58.561,54.6,29.667,24.24,0.0,87.376,89.858,56.853,79.323,58.487,72.629,44.395,84.931,45.932,81.364,31.313,64.549,47.602,90.896,92.762,52.564,63.865,18.334,68.912,21.261,104.505,42.603,95.591,71.285,83.018,18.559,50.265,34.068,69.939,62.762,66.084,86.899,27.904,81.478,84.388,50.25,68.965,57.029,32.433,78.01,34.849,82.499,53.524,83.487,55.093,87.456,30.231,56.192,20.951,33.942,48.571,80.006,32.197,56.175,60.633,51.87,55.496,98.673,50.106,70.84,56.533,52.312,81.608,73.864,32.276,44.519,68.735,54.744,67.557,39.722,29.207,53.995,25.919,63.149,33.725,68.168,54.577,61.948,39.313,108.36,29.195,27.859,22.69,85.511,6.759,45.154,59.388,79.962,85.002,20.074
