0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.0,9.651,10.599,21.487,73.045,42.603,76.851,12.293,41.555,71.439,70.91,43.469,62.359,22.317,82.293,28.276,23.064,60.942,31.249,47.295,9.533,85.15,41.44,65.476,17.215,27.44,62.095,82.941,46.294,60.432,18.316,45.692,68.403,39.029,67.311,36.94,28.724,43.576,48.219,67.241,27.75,57.488,11.285,73.9,26.887,46.844,93.743,64.638,51.162,68.368,49.906,48.981,69.521,41.614,36.155,47.98,40.154,79.24,50.015,42.379,56.932,78.8,35.275,42.96,35.058,60.161,41.88,44.817,84.561,55.939,17.529,38.897,49.431,64.162,91.97,33.47,27.763,42.614,26.278,6.042,83.564,20.686,21.605,21.41,47.471,53.657,83.327,60.486,51.752,30.429,82.68,53.565,60.619,11.125,59.863,26.122,23.4,31.992,56.638,74.38,39.458,30.509,82.291,45.041,81.786,54.517,55.398,37.534,83.134,86.17,8.184,47.227,27.663,31.082,26.468,77.978,49.243,53.246,73.005,43.078,18.892,86.429,12.544,61.837,14.842,39.533,16.035,20.795,68.821,44.022,7.671,9.445,53.501,61.059,78.687,69.214,48.268,49.774,90.779,31.545,30.045,22.69,76.248,47.456,42.092,21.471,57.25,60.57,62.96,20.178,43.983,71.76,41.291,49.14,42.101,57.989,62.908,63.661,56.646,89.711,24.103,15.161,29.304,75.832,49.663,29.069,43.896,37.552,55.822,60.386,20.331,18.287,41.847,31.095,58.283,79.84,41.805,22.789,31.708,48.843,79.31,48.247,28.532,82.444,60.817,63.113,85.147,82.738,39.438,57.674,38.366,73.984,48.701,52.279,85.272,47.484,20.187,17.386,18.23,17.231
9.651,0.0,19.84,18.667,77.109,50.526,69.878,2.782,46.546,66.525,75.581,33.876,57.388,12.738,81.381,37.817,17.476,53.143,40.518,56.167,12.313,80.799,49.171,70.013,26.504,26.663,64.016,80.145,40.091,53.126,8.786,44.71,72.908,30.67,66.213,27.289,19.26,50.089,48.466,60.106,21.588,55.47,20.907,73.981,20.343,37.333,87.263,60.209,41.575,72.992,40.834,45.851,73.98,34.579,45.555,39.882,30.508,76.983,41.082,35.437,58.02,78.504,43.643,47.794,44.689,51.285,51.391,36.507,77.147,50.47,26.806,44.304,45.051,67.527,94.942,33.769,37.229,34.491,16.818,15.028,77.359,27.226,12.421,29.931,51.448,49.546,81.541,52.527,43.426,34.08,84.772,58.998,65.606,18.782,54.692,33.764,28.834,33.349,55.428,68.152,45.68,25.252,82.191,45.021,76.4,45.099,58.069,43.023,81.348,88.923,9.071,38.076,37.248,39.059,20.592,80.335,43.868,58.6,69.016,37.676,14.447,80.592,22.133,66.017,5.932,36.354,18.639,30.057,72.615,36.707,6.469,4.314,59.951,60.512,79.107,73.257,38.718,42.039,83.507,36.896,30.149,19.607,71.742,40.619,32.895,11.843,47.88,52.151,54.178,12.653,34.931,63.593,34.155,58.754,39.649,60.421,58.455,59.252,50.406,82.999,33.738,20.074,33.92,75.232,46.653,25.444,36.468,45.57,56.581,66.39,16.487,23.405,35.302,21.477,53.156,77.428,51.446,14.985,32.307,41.787,74.215,56.95,30.473,78.851,65.73,61.541,78.18,85.139,42.98,49.432,48.01,70.297,39.892,42.943,79.508,41.865,28.878,9.001,27.808,10.611
10.599,19.84,0.0,30.621,74.103,38.681,86.99,22.231,42.439,80.546,71.244,53.014,71.568,32.568,88.354,18.113,28.871,71.399,24.36,41.046,17.723,93.818,37.954,66.098,6.667,34.967,65.807,90.525,56.254,70.74,28.039,52.498,69.002,46.632,73.729,46.865,38.104,42.135,53.923,77.468,33.595,64.804,3.321,79.182,33.168,57.171,103.616,73.507,61.369,68.817,58.313,57.243,70.155,47.583,28.536,55.04,50.163,86.445,60.601,52.644,61.604,84.356,30.759,43.976,26.096,70.756,33.618,55.395,94.859,65.474,12.159,39.368,58.451,66.241,94.036,39.789,17.428,49.83,35.694,4.822,93.327,21.483,32.103,17.928,49.356,62.459,90.114,70.983,62.325,33.766,85.837,53.327,60.777,5.214,69.207,24.014,25.376,37.506,63.343,84.187,38.696,40.312,87.626,51.086,91.111,64.933,58.492,37.978,89.923,88.555,14.094,55.796,17.665,27.752,36.583,80.919,58.796,53.128,81.518,52.719,28.825,95.988,6.599,62.997,25.359,48.05,15.455,14.883,70.291,54.391,18.031,18.231,51.765,67.122,83.583,70.375,57.651,56.337,101.013,32.654,36.744,26.279,85.073,57.653,50.802,31.633,67.7,71.15,73.559,27.952,52.435,82.292,47.387,40.155,50.081,61.267,71.808,72.527,66.547,99.705,15.428,19.566,31.604,81.698,57.832,38.183,54.298,33.685,60.836,59.127,25.042,21.644,51.979,41.251,67.616,87.159,32.613,30.562,37.895,59.109,88.476,42.402,33.796,90.613,61.067,69.985,95.265,85.562,42.235,68.23,28.707,82.288,56.716,62.748,94.797,57.175,16.442,26.107,10.778,27.723
21.487,18.667,30.621,0.0,61.945,44.781,56.961,19.681,34.286,50.033,61.326,39.779,40.998,20.208,62.719,45.165,35.182,42.88,41.267,53.45,12.917,63.663,42.975,55.711,36.335,8.713,46.755,61.874,26.12,41.394,21.959,26.102,58.472,43.35,47.549,32.245,29.19,40.642,30.292,47.743,38.545,36.873,29.551,55.522,37.044,37.431,73.145,43.16,42.347,58.734,50.108,27.669,59.447,49.606,46.627,52.515,34.281,58.492,36.324,23.586,40.213,59.929,40.09,35.134,48.409,45.494,52.925,29.209,65.23,34.865,29.987,33.077,27.974,51.692,78.247,16.168,45.209,47.439,27.434,27.058,62.786,22.144,17.096,29.334,37.094,32.17,62.937,42.821,35.585,21.094,67.386,46.666,52.176,32.514,38.594,29.586,20.731,16.963,36.764,53.691,36.017,10.303,63.655,26.763,60.511,43.45,41.695,32.112,62.744,72.076,26.607,47.179,44.189,34.866,8.466,63.218,28.202,46.143,51.535,22.195,4.827,65.371,28.534,51.31,15.557,18.152,36.24,32.424,57.194,25.84,14.401,22.898,49.643,41.928,60.753,58.151,44.715,55.38,71.155,26.616,12.682,38.16,54.768,28.139,42.268,20.563,45.582,44.188,47.757,29.295,44.809,54.249,49.049,61.22,21.108,43.723,41.434,42.182,36.213,69.375,38.681,15.379,22.755,56.606,28.403,7.605,25.975,40.629,38.579,54.807,34.964,16.983,22.403,26.201,37.005,58.991,54.986,30.85,15.139,29.829,57.936,53.449,15.385,61.06,52.173,42.887,65.153,68.007,28.605,40.895,53.016,52.567,50.361,40.732,64.177,26.666,29.13,25.343,32.819,9.85
73.045,77.109,74.103,61.945,0.0,42.034,86.387,79.226,31.733,67.308,5.542,100.567,64.675,82.139,41.563,72.876,94.533,85.018,58.123,50.28,65.124,69.289,41.257,8.32,74.489,53.46,20.097,56.129,68.962,80.781,83.174,43.035,5.778,105.258,39.255,93.231,91.135,33.576,36.302,82.623,98.685,45.306,70.872,31.544,97.387,95.108,92.384,61.58,99.794,6.461,111.632,52.468,4.72,111.041,59.329,114.455,94.61,50.503,89.583,72.422,27.457,35.615,48.512,30.239,65.911,94.86,61.749,81.788,95.139,66.376,62.844,34.738,59.126,10.771,21.032,46.248,74.202,109.343,89.344,74.628,83.599,52.98,79.041,56.829,25.692,57.745,48.625,86.155,84.961,43.059,19.175,21.609,14.113,79.078,65.368,50.532,49.707,44.984,40.64,78.796,35.868,64.877,35.419,39.285,75.797,98.491,20.956,36.129,48.539,17.162,81.157,108.726,71.701,48.473,67.67,15.034,64.668,21.608,61.061,64.391,66.614,82.14,67.623,11.21,76.473,54.748,88.203,61.366,4.907,74.956,70.734,80.273,26.664,35.847,30.158,3.853,105.236,117.277,97.878,41.722,49.419,95.514,66.221,72.931,103.986,82.432,99.519,90.37,95.529,89.568,106.571,94.478,110.53,67.027,50.87,19.915,61.303,61.192,71.634,91.874,66.382,57.977,43.747,37.035,51.749,60.072,75.613,45.074,29.783,20.056,92.817,54.768,70.18,87.624,64.698,51.897,67.518,91.608,46.915,74.682,72.195,47.997,47.069,62.01,13.666,42.296,91.3,17.03,34.134,87.177,70.442,59.2,112.149,95.725,80.857,65.847,58.278,85.656,65.796,71.493
42.603,50.526,38.681,44.781,42.034,0.0,94.384,53.26,18.984,80.343,37.614,82.564,73.353,60.742,71.589,31.845,65.591,84.618,16.965,11.188,39.01,89.315,2.003,33.802,36.52,40.406,43.549,80.463,66.302,81.89,58.927,46.561,36.278,81.175,60.637,75.181,69.121,10.337,42.859,86.844,70.316,57.625,35.431,60.46,69.488,82.017,106.967,72.834,86.899,35.721,91.055,56.603,37.393,84.217,17.323,90.323,77.791,75.022,80.925,66.218,44.001,66.015,8.011,19.98,23.942,89.6,20.096,73.482,103.466,70.512,26.566,16.828,61.635,38.279,63.063,37.805,33.302,84.931,66.776,41.222,96.556,23.836,58.487,21.344,25.641,63.46,76.311,85.002,79.323,26.207,58.699,20.951,28.002,43.867,72.269,16.77,24.099,34.089,53.72,88.71,12.284,53.524,68.005,42.483,91.162,88.23,35.838,16.62,76.15,58.848,50.278,88.213,30.776,11.527,53.185,53.615,65.275,21.175,77.561,61.205,47.519,97.315,32.317,32.755,53.023,51.536,54.128,23.846,39.822,68.822,44.54,51.87,15.604,53.817,62.762,39.008,87.585,92.285,108.352,19.334,38.045,64.308,82.499,69.567,83.02,60.414,90.344,87.402,91.556,62.603,85.22,95.978,83.892,26.723,50.273,38.515,71.603,71.997,74.216,104.505,26.519,31.572,23.132,64.983,56.563,48.491,69.164,5.07,44.79,23.073,62.469,28.705,64.413,68.868,70.886,76.195,25.722,65.154,36.605,71.489,87.71,9.96,32.362,83.597,28.501,59.636,101.696,57.41,25.864,83.973,28.41,77.037,90.341,85.511,95.959,64.966,22.712,59.388,28.252,50.691
76.851,69.878,86.99,56.961,86.387,94.384,0.0,68.842,76.919,19.856,89.464,56.708,22.179,60.223,54.714,102.098,78.402,18.471,96.483,105.045,69.663,28.062,92.381,85.34,93.076,56.246,66.474,40.113,30.85,16.932,65.86,48.768,86.788,71.594,48.001,54.838,62.591,86.156,54.304,9.845,78.615,41.44,86.323,58.419,77.06,45.008,18.112,24.81,45.833,87.603,66.807,38.107,87.117,80.537,101.625,76.097,52.588,42.911,35.182,34.525,59.823,57.762,92.601,76.615,104.506,28.872,107.791,35.053,9.168,23.893,86.699,78.056,32.752,76.754,90.269,56.769,102.167,74.17,63.38,82.855,10.981,76.857,58.607,85.032,73.615,31.298,48.382,19.832,29.223,68.537,77.613,84.8,85.684,87.841,22.45,83.347,73.818,60.538,46.228,7.94,82.506,46.81,60.922,53.234,17.34,40.031,68.815,77.959,48.293,84.75,78.915,65.292,101.098,87.681,50.421,76.874,29.68,84.142,27.446,35.03,58.167,15.983,85.485,80.988,64.042,43.224,88.143,88.842,82.057,33.183,69.181,73.719,91.325,50.542,63.033,84.01,57.689,79.582,14.27,75.393,57.283,84.001,23.59,29.402,64.254,61.439,38.132,23.475,26.414,72.589,66.153,15.26,79.849,116.211,44.111,68.239,25.199,25.235,20.913,13.355,95.414,71.687,71.96,54.228,38.33,49.924,33.462,91.798,57.664,92.452,81.009,72.255,35.019,55.415,23.679,41.919,110.767,72.029,58.194,28.106,19.107,104.264,62.949,33.312,85.303,44.173,8.307,79.954,69.279,23.99,109.397,30.009,69.742,39.223,15.816,30.644,85.159,70.283,89.695,59.821
12.293,2.782,22.231,19.681,79.226,53.26,68.842,0.0,48.904,66.271,77.817,31.178,57.15,10.418,82.311,40.292,15.673,51.796,43.284,58.949,14.807,80.695,51.889,72.233,28.871,28.009,65.705,80.536,39.499,52.0,6.039,45.778,75.117,27.973,67.137,24.701,16.501,52.667,49.826,59.03,19.502,56.182,23.478,75.193,18.165,34.994,86.388,60.145,39.14,75.223,38.053,46.29,76.178,32.144,48.304,37.214,27.962,77.543,39.175,34.577,59.537,79.607,46.411,50.121,47.351,49.386,54.117,34.98,75.912,50.087,29.565,46.736,45.088,69.521,96.804,35.269,39.656,31.828,14.056,17.409,76.607,29.875,10.615,32.711,53.608,49.643,82.225,51.106,41.856,36.274,86.451,61.396,67.916,20.748,54.396,36.494,31.344,35.096,56.366,67.415,48.227,25.233,83.336,46.337,75.951,42.836,59.944,45.472,82.033,90.745,10.262,35.294,39.759,41.807,20.45,82.083,43.563,60.986,69.065,37.415,15.147,79.97,24.822,68.176,5.005,36.866,19.318,32.819,74.685,35.669,8.955,4.928,62.505,61.606,80.393,75.375,35.995,39.434,82.32,39.349,31.651,18.543,71.611,39.762,30.114,9.423,45.653,50.502,52.327,10.347,32.151,62.042,31.698,61.432,40.347,62.236,58.39,59.198,49.731,82.04,36.395,22.608,36.276,76.262,47.123,25.996,35.38,48.316,58.024,68.869,15.314,25.922,34.613,19.023,52.882,77.941,54.095,12.523,33.896,40.827,73.875,59.729,32.378,78.998,68.027,62.351,77.129,86.888,45.096,47.882,50.592,70.438,37.127,40.752,78.915,41.484,31.66,6.501,30.504,10.696
41.555,46.546,42.439,34.286,31.733,18.984,76.919,48.904,0.0,61.852,29.354,74.057,55.334,53.57,53.424,43.529,63.691,68.993,29.949,30.167,34.274,70.373,17.122,23.946,43.291,27.252,26.217,61.547,50.749,65.765,53.532,28.319,26.874,76.159,41.775,66.519,62.571,9.352,24.015,70.048,68.054,38.785,39.244,42.534,66.869,71.073,88.597,54.427,75.987,26.817,84.117,38.82,28.004,81.044,33.007,85.477,68.55,56.159,68.049,51.874,25.363,48.112,21.295,1.576,38.847,75.675,37.581,60.229,86.074,53.29,31.549,3.294,44.442,24.07,51.668,22.144,44.66,80.183,60.508,42.901,78.294,21.253,50.722,25.642,7.755,45.661,57.707,69.611,65.254,13.235,44.366,12.567,19.121,47.368,54.533,19.454,18.158,18.995,34.775,70.801,6.947,40.623,50.492,24.012,72.553,76.202,18.268,4.588,57.54,46.356,49.723,81.19,42.291,18.968,41.781,39.293,48.721,12.116,58.721,45.58,38.355,78.786,36.027,20.573,46.904,35.333,56.489,30.505,27.854,54.563,40.078,49.315,15.806,34.895,45.516,27.966,79.001,88.006,90.619,10.032,23.763,64.188,63.722,54.376,76.158,53.617,77.919,72.643,77.23,59.189,78.622,80.071,80.589,45.1,33.212,21.143,53.296,53.63,57.481,86.379,36.362,26.736,12.629,46.694,38.646,35.344,55.035,18.664,25.955,20.532,61.629,23.428,49.829,60.411,53.246,57.308,42.624,61.426,21.614,56.315,69.052,28.774,19.084,64.614,19.289,40.652,83.896,43.732,7.678,69.202,44.015,58.12,84.096,73.396,77.425,48.814,27.025,55.404,34.731,42.751
71.439,66.525,80.546,50.033,67.308,80.343,19.856,66.271,61.852,0.0,70.733,63.509,9.139,59.867,35.194,93.326,78.826,27.989,85.295,91.398,62.838,14.887,78.365,66.974,85.907,46.414,47.728,21.939,27.353,23.609,64.967,33.798,68.175,76.635,28.384,59.395,64.875,71.202,38.026,20.346,80.218,23.69,79.171,38.588,78.575,52.509,26.786,7.574,55.02,69.036,74.995,24.56,68.405,85.415,90.087,83.0,58.14,23.635,42.67,33.183,41.666,37.951,79.904,61.267,93.936,40.763,95.962,38.7,28.033,16.345,77.599,63.553,22.095,58.129,70.414,44.523,93.678,79.925,64.919,77.09,16.768,66.324,57.425,74.736,57.332,18.305,29.376,29.696,35.779,55.875,57.776,68.035,67.944,82.524,11.893,71.815,62.67,48.157,28.354,11.925,68.104,41.324,41.197,37.89,10.99,50.25,51.063,63.728,29.261,64.922,75.445,72.883,92.207,75.392,45.934,57.162,22.712,67.387,7.829,28.865,52.763,16.974,77.647,62.834,61.267,32.758,85.136,79.178,63.172,33.392,64.024,70.76,75.028,31.702,43.18,65.175,65.917,86.546,30.613,62.364,46.128,83.692,6.096,28.602,70.507,60.993,49.336,34.742,39.466,72.571,72.831,32.13,84.723,104.267,31.791,50.085,9.037,8.484,18.571,25.087,86.098,62.744,59.452,34.38,24.328,42.428,34.02,78.521,39.686,75.19,80.472,62.442,32.368,57.808,13.389,22.814,99.682,72.731,46.273,28.556,7.954,90.299,51.273,16.309,67.514,25.055,23.994,60.141,54.519,33.219,99.097,10.501,77.398,48.469,15.62,24.849,75.176,69.459,80.935,55.915
