0,1,2,3,4,5,6,7,8,9
0.0,79.981,50.968,62.148,66.056,19.723,28.515,36.767,89.452,60.146
79.981,0.0,112.455,86.003,43.713,88.776,64.746,99.038,169.433,140.127
50.968,112.455,0.0,26.452,68.742,70.691,47.709,14.201,56.978,27.672
62.148,86.003,26.452,0.0,42.29,81.871,33.633,25.381,83.43,54.124
66.056,43.713,68.742,42.29,0.0,85.779,37.541,55.325,125.72,96.414
19.723,88.776,70.691,81.871,85.779,0.0,48.238,56.49,80.657,64.975
28.515,64.746,47.709,33.633,37.541,48.238,0.0,34.292,104.687,75.381
36.767,99.038,14.201,25.381,55.325,56.49,34.292,0.0,70.395,41.089
89.452,169.433,56.978,83.43,125.72,80.657,104.687,70.395,0.0,29.306
60.146,140.127,27.672,54.124,96.414,64.975,75.381,41.089,29.306,0.0
