0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.0,137.741,93.904,74.806,162.993,49.006,96.779,151.224,84.611,49.524,71.422,19.255,111.835,129.319,80.274,107.914,38.7,110.118,107.482,92.748,114.343,61.217,173.982,4.571,21.464,125.865,106.357,131.967,71.442,32.595,53.262,61.47,77.469,114.491,119.602,13.738,83.529,71.612,79.193,65.623,78.376,37.422,142.164,69.853,80.896,91.033,112.585,20.078,175.312,11.723,125.001,62.346,57.734,59.459,112.152,83.268,50.244,45.641,73.97,61.181,104.303,78.332,110.947,146.906,52.781,106.906,37.362,68.28,42.8,68.322,118.418,70.134,110.234,45.612,84.317,18.055,24.8,44.584,78.365,69.629,93.766,144.677,73.124,18.59,143.825,51.686,97.85,81.947,63.208,118.886,96.025,67.101,104.343,142.665,150.514,55.213,108.683,36.885,97.304,107.556,87.32,78.822,23.553,80.227,25.318,93.308,78.669,112.919,76.858,80.591,28.947,33.884,12.306,65.731,62.088,58.496,110.178,94.628,56.376,52.056,116.343,152.133,134.875,34.115,97.369,41.248,66.016,33.655,111.764,55.781,76.643,121.424,115.727,99.664,113.384,53.755,58.592,68.039,101.09,96.922,55.281,133.078,76.874,98.102,80.085,91.767,99.979,88.282,115.153,76.927,19.02,40.315,134.26,15.136,94.667,61.527,158.098,83.133,45.875,46.112,51.625,67.188,66.997,130.65,45.255,84.247,66.057,62.37,122.019,54.525,113.655,75.294,81.368,106.328,138.347,40.339,60.782,28.237,131.312,149.726,67.934,45.253,101.815,30.596,142.674,97.938,87.262,56.877,141.971,89.735,108.976,61.757,83.322,108.095,103.064,30.72,126.24,58.359,108.354,136.258
137.741,0.0,43.837,82.731,42.98,88.735,122.518,18.811,53.13,88.217,66.319,133.752,112.664,8.422,91.999,29.827,99.041,27.623,30.259,44.993,23.398,77.026,49.507,135.818,116.277,51.628,31.384,5.774,66.299,105.146,84.479,110.681,130.374,73.508,56.591,142.257,109.008,73.653,65.302,115.148,108.577,100.319,22.913,67.888,70.843,69.286,76.474,117.663,53.143,126.018,29.032,75.395,94.327,78.282,57.169,54.473,87.497,99.232,63.771,76.56,33.438,59.409,26.794,27.951,100.936,80.347,100.379,69.461,112.359,69.419,33.981,96.269,40.377,92.129,59.244,139.952,112.941,93.157,59.376,108.586,125.241,66.302,97.421,119.151,45.966,86.055,39.891,61.488,74.533,105.691,77.06,100.296,33.398,55.866,64.121,109.2,34.178,100.856,50.401,30.185,59.805,90.713,114.188,57.514,112.423,66.565,59.072,24.822,124.807,72.422,122.252,103.857,142.829,72.01,75.653,84.223,95.277,43.113,81.365,94.683,60.888,76.204,18.328,103.626,40.372,108.737,71.725,104.086,62.137,83.484,61.098,75.229,49.89,38.077,66.823,106.54,96.167,85.156,36.651,40.819,82.46,41.809,60.867,45.465,57.656,45.974,37.762,58.309,25.884,70.134,126.431,97.426,48.985,125.757,109.1,76.214,31.927,54.608,91.866,97.131,86.116,70.553,121.95,53.607,112.136,68.59,71.684,111.443,101.054,90.602,97.414,89.691,130.477,52.999,49.04,97.402,79.413,109.504,6.429,26.419,69.807,92.488,35.926,107.201,83.817,104.709,87.441,80.864,60.288,51.096,54.427,75.984,116.695,118.178,48.233,113.415,93.577,90.642,101.725,80.093
93.904,43.837,0.0,99.166,69.089,76.992,138.953,57.32,47.503,57.476,43.474,89.915,129.099,35.415,108.434,14.01,94.376,39.152,13.578,19.546,20.439,33.189,80.078,91.981,91.198,68.063,31.857,38.063,38.602,61.309,99.344,127.116,146.809,89.943,73.026,98.42,125.443,90.088,81.737,131.583,125.012,56.482,48.26,48.117,27.006,25.449,92.909,74.676,81.408,82.181,45.467,59.96,110.762,34.445,73.604,37.526,62.27,115.667,19.934,92.491,10.593,17.518,18.359,53.002,117.371,96.782,56.542,60.158,68.522,70.334,50.416,112.704,56.812,83.794,75.679,96.115,83.21,64.18,62.665,125.021,141.676,82.737,113.856,84.646,62.401,42.218,19.722,77.923,54.172,122.126,93.495,116.731,10.439,72.301,80.556,125.635,50.613,97.813,25.916,13.652,15.968,107.148,86.445,41.553,77.69,22.728,55.495,22.217,141.242,28.585,78.415,61.454,98.992,28.229,31.816,100.658,111.712,37.68,37.576,111.118,77.323,92.639,40.971,69.299,7.891,64.9,29.106,79.429,78.572,39.647,17.261,91.664,66.325,5.76,83.258,62.703,112.602,41.319,14.608,5.718,45.289,58.244,33.914,26.714,13.819,16.499,11.749,74.744,42.319,26.297,82.594,103.775,65.42,86.524,125.535,70.981,64.194,44.767,48.029,53.294,42.279,30.556,138.385,70.042,68.299,85.025,27.847,127.878,117.489,46.765,113.849,106.126,146.912,34.94,65.475,95.489,35.576,86.949,37.408,55.822,45.83,48.651,17.451,101.984,100.252,121.144,103.876,76.471,76.723,67.531,70.862,61.291,133.13,134.613,31.676,69.578,110.012,46.805,118.16,96.528
74.806,82.731,99.166,0.0,88.187,25.8,39.787,76.418,51.663,41.69,55.692,70.817,37.029,80.079,9.268,85.886,36.106,60.014,99.422,118.712,81.453,88.995,99.176,72.883,53.342,51.059,67.309,81.671,60.564,43.803,21.544,27.95,47.643,39.685,44.796,79.322,26.277,9.078,17.429,32.417,25.846,55.854,67.358,51.049,108.674,118.811,37.779,54.728,100.506,63.083,53.699,39.206,17.072,70.953,37.346,61.64,36.896,29.165,86.428,13.625,88.573,81.648,80.807,72.1,22.025,32.1,56.562,39.008,70.578,28.832,48.75,13.538,42.354,29.194,23.487,77.017,50.006,34.986,36.501,25.855,42.51,69.871,14.69,56.216,69.019,66.642,79.444,21.243,44.994,44.08,21.219,17.565,99.127,67.859,75.708,26.469,48.553,37.921,125.082,104.762,115.098,7.982,51.253,57.613,49.488,121.086,43.671,76.949,42.076,108.369,59.317,40.922,79.894,70.937,74.128,16.31,35.372,61.486,61.59,22.75,41.537,77.327,64.403,40.691,91.275,69.026,70.06,41.151,36.958,83.559,102.019,46.618,40.921,102.504,38.578,81.533,16.214,95.817,113.774,93.448,53.877,58.272,65.252,125.88,86.091,82.667,87.417,24.422,56.847,104.705,63.496,34.491,59.454,62.822,26.369,28.185,83.292,54.399,69.555,73.89,73.103,68.61,39.219,55.844,73.033,14.141,92.043,28.712,47.213,82.303,38.849,6.96,47.746,134.106,63.541,34.467,88.56,46.569,83.532,74.92,53.336,65.957,81.715,44.266,67.868,23.132,12.456,22.695,67.165,31.635,34.17,37.875,33.964,35.447,130.842,58.498,51.434,86.137,33.548,61.452
162.993,42.98,69.089,88.187,0.0,113.987,79.538,24.169,78.382,113.469,91.571,159.004,69.684,40.328,82.719,55.079,124.293,52.875,59.671,78.961,48.65,102.278,10.989,161.07,141.529,37.128,56.636,41.92,91.551,130.398,109.731,101.523,87.394,48.502,43.391,167.509,79.464,91.381,83.8,97.37,84.617,125.571,20.829,93.14,96.095,94.538,50.408,142.915,12.319,151.27,37.992,100.647,105.259,103.534,50.841,79.725,112.749,117.352,89.023,101.812,58.69,84.661,52.046,16.087,110.212,56.087,125.631,94.713,137.611,94.671,44.575,92.859,52.759,117.381,78.676,165.204,138.193,118.409,84.628,93.364,82.261,23.322,89.869,144.403,19.168,111.307,65.143,81.046,99.785,62.711,66.968,95.892,59.376,20.328,21.141,107.78,54.31,126.108,85.331,65.011,85.057,84.171,139.44,82.766,137.675,91.817,84.324,50.074,86.135,97.674,147.504,129.109,168.081,97.262,100.905,104.497,52.815,68.365,106.617,110.937,46.65,33.224,28.118,128.878,65.624,133.989,96.977,129.338,51.229,108.736,86.35,41.569,47.266,63.329,49.609,131.792,104.401,110.408,74.023,66.071,107.712,29.915,86.119,86.129,82.908,71.226,63.014,74.711,47.84,95.386,151.683,122.678,28.733,151.009,68.326,101.466,11.053,79.86,117.118,122.383,111.368,95.805,98.246,32.343,137.388,78.746,96.936,100.623,58.074,115.854,54.434,87.699,87.497,94.355,24.646,122.654,104.665,134.756,43.781,16.561,95.059,117.74,61.178,132.453,40.837,65.055,75.731,106.116,21.022,73.258,54.017,101.236,79.671,75.198,91.091,138.667,50.597,115.894,58.745,37.113
49.006,88.735,76.992,25.8,113.987,0.0,61.961,102.218,35.605,19.516,33.518,45.017,62.829,80.313,31.442,63.712,17.384,61.112,77.248,96.538,65.337,66.821,124.976,47.083,27.542,76.859,57.351,82.961,38.39,21.629,22.352,50.124,69.817,65.485,70.596,53.522,48.451,22.606,30.187,54.591,48.02,33.68,93.158,28.875,86.5,96.637,63.579,28.928,126.306,37.283,75.995,17.032,33.77,48.779,63.146,39.466,14.722,38.675,64.254,15.499,66.399,59.474,61.941,97.9,40.379,57.9,34.388,19.274,48.404,19.316,69.412,35.712,61.228,6.802,35.311,51.217,24.206,12.812,29.359,48.029,64.684,95.671,36.864,30.416,94.819,44.468,57.27,32.941,22.82,69.88,47.019,39.739,76.953,93.659,101.508,48.643,59.677,20.821,102.908,82.588,92.924,30.156,25.453,35.439,23.688,98.912,29.663,63.913,64.25,86.195,34.551,15.538,54.094,48.763,51.954,23.666,61.172,45.622,39.416,34.126,67.337,103.127,85.869,14.891,69.101,46.852,47.886,15.351,62.758,61.385,79.845,72.418,66.721,80.33,64.378,59.359,35.61,73.643,91.6,71.274,31.703,84.072,43.078,103.706,63.917,60.493,65.243,39.276,66.147,82.531,37.696,26.783,85.254,37.022,48.543,12.521,109.092,34.127,47.381,51.716,50.929,46.436,61.393,81.644,50.859,35.241,69.869,50.886,73.013,60.129,64.649,29.134,69.92,111.932,89.341,18.497,66.386,20.769,82.306,100.72,31.162,43.783,59.541,24.992,93.668,48.932,38.256,7.871,92.965,40.729,59.97,15.701,56.138,59.089,108.668,36.324,77.234,63.963,59.348,87.252
96.779,122.518,138.953,39.787,79.538,61.961,0.0,103.707,91.45,81.477,95.479,92.79,15.056,119.866,30.519,125.673,58.079,99.801,139.209,158.499,121.24,128.782,77.203,94.856,75.315,70.89,107.096,121.458,100.351,83.59,43.517,35.309,19.31,49.01,65.927,101.295,13.51,48.865,57.216,31.156,18.403,95.641,99.605,90.836,148.461,158.598,46.044,76.701,78.533,85.056,93.486,78.993,39.045,110.74,65.349,101.427,76.683,51.138,126.215,46.462,128.36,121.435,120.594,94.567,43.998,42.171,96.349,78.795,110.365,68.619,88.537,26.645,82.141,55.159,63.274,98.99,71.979,74.773,76.288,27.15,3.013,56.216,25.097,78.189,76.552,106.429,119.231,61.03,84.781,22.107,45.458,29.678,138.914,66.652,58.397,41.566,88.34,59.894,164.869,144.549,154.885,31.805,73.226,97.4,71.461,160.873,83.458,116.736,19.921,148.156,96.512,77.499,101.867,110.724,113.915,38.295,27.241,101.273,101.377,44.723,61.63,55.354,104.19,69.654,131.062,108.813,109.847,63.124,60.381,123.346,141.806,47.289,72.628,142.291,55.695,121.32,38.187,135.604,153.561,133.235,93.664,80.709,105.039,165.667,125.878,122.454,127.204,64.209,96.634,144.492,86.585,56.464,73.533,84.795,13.418,67.972,90.591,94.186,109.342,113.677,112.89,108.397,32.032,68.911,112.82,53.928,131.83,34.409,25.24,122.09,25.104,32.827,15.411,173.893,73.478,56.44,128.347,68.542,123.319,96.099,93.123,105.744,121.502,66.239,45.895,17.809,35.077,62.482,62.23,71.422,68.091,77.662,13.457,11.316,170.629,98.285,29.461,125.924,20.793,42.425
151.224,18.811,57.32,76.418,24.169,102.218,103.707,0.0,66.613,101.7,79.802,147.235,93.853,21.905,73.188,43.31,112.524,41.106,43.742,58.476,36.881,90.509,30.696,149.301,129.76,32.817,44.867,19.257,79.782,118.629,97.962,91.87,111.563,54.697,37.78,155.74,90.197,79.612,72.031,96.337,89.766,113.802,9.06,81.371,84.326,82.769,57.663,131.146,34.332,139.501,26.223,88.878,93.49,91.765,39.072,67.956,100.98,105.583,77.254,90.043,46.921,72.892,40.277,9.14,98.443,61.536,113.862,82.944,125.842,82.902,32.806,81.09,40.99,105.612,66.907,153.435,126.424,106.64,72.859,89.775,106.43,47.491,78.61,132.634,27.155,99.538,53.374,69.277,88.016,86.88,58.249,84.123,46.881,37.055,45.31,96.011,42.541,114.339,63.884,43.668,73.288,72.402,127.671,70.997,125.906,80.048,72.555,38.305,105.996,85.905,135.735,117.34,156.312,85.493,89.136,92.728,76.466,56.596,94.848,99.168,42.077,57.393,16.349,117.109,53.855,122.22,85.208,117.569,43.326,96.967,74.581,56.418,35.497,51.56,48.012,120.023,92.632,98.639,50.134,54.302,95.943,22.998,74.35,61.96,71.139,59.457,51.245,62.942,36.071,83.617,139.914,110.909,30.174,139.24,90.289,89.697,13.116,68.091,105.349,110.614,99.599,84.036,103.139,34.796,125.619,66.977,85.167,92.632,82.243,104.085,78.603,75.93,111.666,70.186,30.229,110.885,92.896,122.987,19.912,7.608,83.29,105.971,49.409,120.684,65.006,85.898,68.63,94.347,41.477,61.489,42.248,89.467,97.884,99.367,66.922,126.898,74.766,104.125,82.914,61.282
84.611,53.13,47.503,51.663,78.382,35.605,91.45,66.613,0.0,35.087,13.189,80.622,81.596,44.708,60.931,34.223,46.873,25.507,47.759,67.049,29.79,37.332,89.371,82.688,63.147,41.254,21.746,47.356,13.169,52.016,51.841,79.613,99.306,42.44,34.991,89.127,77.94,42.585,34.234,84.08,77.509,47.189,57.553,14.758,57.011,67.148,45.406,64.533,90.701,72.888,40.39,22.265,63.259,25.152,27.541,9.977,34.367,68.164,34.765,44.988,36.91,29.985,29.144,62.295,69.868,49.279,47.249,16.331,59.229,22.831,33.807,65.201,25.623,38.999,28.176,86.822,59.811,40.027,15.162,77.518,94.173,60.066,66.353,66.021,59.214,32.925,27.781,30.42,21.403,74.623,45.992,69.228,47.464,58.054,65.903,78.132,24.072,50.31,73.419,53.099,63.435,59.645,61.058,5.95,59.293,69.423,7.992,28.308,93.739,56.706,69.122,50.727,89.699,19.274,22.523,53.155,64.209,10.017,28.235,63.615,31.732,67.522,50.264,50.496,39.612,55.607,18.595,50.956,31.069,31.896,50.356,44.161,31.116,50.841,35.755,53.41,65.099,44.154,62.111,41.785,29.33,48.467,13.589,74.217,34.428,31.004,35.754,27.241,30.542,53.042,73.301,56.272,49.649,72.627,78.032,23.478,73.487,2.736,38.736,44.001,32.986,17.423,90.882,46.039,59.006,37.522,40.38,80.375,69.986,37.472,66.346,58.623,99.409,82.443,53.736,47.986,36.897,56.374,46.701,65.115,16.677,39.358,30.052,54.481,58.063,73.641,56.373,28.968,57.36,20.028,24.365,22.854,85.627,87.11,79.179,60.285,62.509,37.512,70.657,51.647
49.524,88.217,57.476,41.69,113.469,19.516,81.477,101.7,35.087,0.0,21.898,45.535,71.623,79.795,50.958,58.39,36.9,60.594,57.958,77.022,64.819,47.305,124.458,47.601,33.722,76.341,56.833,82.443,21.918,16.929,41.868,69.64,89.333,64.967,70.078,54.04,67.967,32.612,29.669,74.107,67.536,14.164,92.64,20.329,66.984,77.121,63.061,29.446,125.788,37.801,75.477,12.822,53.286,29.263,62.628,33.744,4.794,58.191,44.738,35.015,54.779,39.958,61.423,97.382,59.895,57.382,14.872,18.756,28.888,18.798,68.894,55.228,60.71,26.318,34.793,51.735,25.734,6.704,28.841,67.545,84.2,95.153,56.38,30.934,94.301,24.952,48.326,32.423,13.684,69.362,46.501,59.255,57.437,93.141,100.99,68.159,59.159,40.337,83.392,63.072,73.408,49.672,28.969,30.703,24.206,79.396,29.145,63.395,83.766,66.679,34.035,15.64,54.612,29.247,32.438,43.182,60.654,45.104,19.9,53.642,66.819,102.609,85.351,15.409,49.585,27.336,28.37,21.953,62.24,41.869,60.329,71.9,66.203,60.814,63.86,39.843,55.126,54.127,72.084,51.758,12.187,83.554,27.35,84.19,44.401,42.243,50.455,38.758,65.629,63.015,38.214,46.299,84.736,37.54,68.059,13.505,108.574,33.609,27.865,32.2,31.413,26.92,80.909,81.126,31.343,34.723,50.353,70.402,72.495,40.613,64.131,48.65,89.436,92.416,88.823,38.013,46.87,29.473,81.788,100.202,18.41,24.267,52.291,44.508,93.15,63.668,46.4,18.995,92.447,40.211,59.452,12.233,75.654,77.137,89.152,25.198,76.716,44.447,60.684,86.734
