0,1,2,3,4,5,6,7,8,9
0.0,57.087,41.872,39.515,51.579,14.522,22.077,28.206,61.23,52.749
57.087,0.0,72.981,60.467,39.337,70.278,40.854,62.591,106.786,89.162
41.872,72.981,0.0,19.226,45.298,49.054,35.618,13.809,41.182,18.146
39.515,60.467,19.226,0.0,26.867,51.635,27.549,19.418,60.408,37.139
51.579,39.337,45.298,26.867,0.0,66.072,29.504,42.714,86.05,63.443
14.522,70.278,49.054,51.635,66.072,0.0,36.581,36.724,64.304,58.194
22.077,40.854,35.618,27.549,29.504,36.581,0.0,22.787,65.955,49.721
28.206,62.591,13.809,19.418,42.714,36.724,22.787,0.0,45.107,26.944
61.23,106.786,41.182,60.408,86.05,64.304,65.955,45.107,0.0,23.659
52.749,89.162,18.146,37.139,63.443,58.194,49.721,26.944,23.659,0.0
