0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,57.087,41.872,39.515,51.579,14.522,22.077,28.206,61.23,52.749,37.96,37.142,32.758,25.205,11.917,45.752,20.198,37.806,14.024,47.024,37.487,23.025,5.667,50.765,39.777,26.168,35.485,52.812,47.142,45.983,58.85,23.908,41.5,38.237,37.328,50.889,65.152,21.351,31.95,57.633,34.647,34.044,25.193,28.602,31.455,62.851,53.924,32.269,42.007,48.726,34.877,51.552,5.404,37.27,48.426,36.534,23.017,8.077,52.754,57.572,34.856,50.109,41.102,18.616,23.61,24.02,59.721,50.212,24.52,20.118,24.769,3.026,61.328,21.068,58.105,44.858,67.389,1.483,61.27,52.62,38.821,26.837,57.182,16.112,19.445,15.24,30.302,12.887,13.802,62.922,51.978,56.186,32.317,32.04,52.726,30.796,23.532,37.465,31.526,45.361
57.087,0.0,72.981,60.467,39.337,70.278,40.854,62.591,106.786,89.162,83.122,60.444,39.346,41.488,67.521,28.079,49.618,86.609,50.625,17.355,64.448,34.984,58.448,7.779,23.972,42.061,91.322,98.65,35.019,75.095,5.89,80.884,25.597,93.494,87.725,80.036,83.0,60.358,86.822,59.691,90.278,57.839,72.822,57.604,56.751,79.96,44.014,88.558,96.416,23.192,60.731,19.5,52.185,87.179,56.213,78.032,72.102,64.161,80.866,81.364,49.611,21.665,66.479,41.401,36.423,80.686,71.493,9.856,81.36,37.998,38.741,60.055,33.16,58.772,82.503,62.199,67.991,56.332,58.567,73.557,66.447,40.779,105.35,41.006,64.927,44.601,40.869,66.948,65.996,8.152,103.37,105.674,69.235,51.416,86.049,50.503,79.455,90.076,32.289,93.707
41.872,72.981,0.0,19.226,45.298,49.054,35.618,13.809,41.182,18.146,76.966,78.983,33.754,65.38,48.657,47.262,26.518,74.737,30.903,55.944,10.359,46.356,36.262,65.249,73.789,31.551,57.423,35.116,43.857,4.634,78.092,38.319,77.271,63.629,73.017,9.018,34.599,20.537,61.338,43.645,58.84,75.849,22.044,70.417,73.245,34.23,45.611,51.592,42.771,52.158,13.351,56.199,40.993,73.422,34.492,77.015,23.72,46.014,10.954,19.771,25.632,53.937,12.479,38.977,41.674,45.208,38.546,74.909,44.049,55.256,36.502,41.506,56.133,62.927,19.044,24.994,51.431,43.3,48.326,22.969,8.628,32.795,42.88,47.767,23.167,54.587,32.113,51.928,29.712,81.089,45.017,44.647,10.441,73.745,13.226,22.836,51.133,70.419,68.477,34.112
39.515,60.467,19.226,0.0,26.867,51.635,27.549,19.418,60.408,37.139,77.47,73.443,22.166,58.008,49.94,32.664,20.023,76.985,25.812,43.134,9.164,38.345,35.646,53.083,65.45,22.455,68.014,54.26,27.15,17.367,66.112,51.864,69.09,72.618,76.144,21.226,25.96,23.801,67.903,24.783,68.222,70.06,37.069,64.918,67.421,23.436,26.518,63.385,61.477,37.71,7.346,41.709,36.523,76.227,15.405,75.885,37.619,46.321,21.02,21.586,11.047,39.409,7.226,31.45,33.487,55.35,21.41,64.601,55.158,47.706,27.946,40.748,37.567,58.298,22.54,6.316,32.878,40.37,29.448,14.338,10.645,23.552,62.029,40.465,31.052,47.662,21.502,52.041,36.434,68.586,63.948,63.732,25.553,67.122,31.156,11.606,57.919,75.283,60.654,53.005
51.579,39.337,45.298,26.867,0.0,66.072,29.504,42.714,86.05,63.443,84.008,68.043,18.968,47.666,63.368,12.023,34.541,86.157,39.753,22.748,34.943,30.858,51.363,32.606,47.363,25.803,86.953,79.345,5.463,44.209,45.227,73.754,51.04,89.813,86.617,48.019,43.687,45.617,83.425,20.374,86.2,64.559,60.066,61.523,62.385,40.652,4.792,83.549,84.864,16.344,32.178,19.876,46.21,86.266,17.238,79.986,60.391,59.604,47.387,43.626,20.537,17.771,34.085,33.1,28.773,75.242,32.156,44.936,75.633,39.089,26.833,54.512,10.838,59.171,45.027,24.978,29.007,51.198,19.475,35.397,36.76,24.922,87.053,37.619,53.036,43.992,21.611,63.458,57.164,47.108,88.18,88.493,49.382,59.139,57.844,25.273,75.073,88.0,45.295,77.25
14.522,70.278,49.054,51.635,66.072,0.0,36.581,36.724,64.304,58.194,27.912,31.941,47.279,30.633,2.781,60.067,33.773,26.004,27.702,61.212,47.448,37.236,16.155,64.443,48.622,40.67,21.199,56.328,61.585,53.492,71.316,18.899,48.756,23.751,24.73,57.835,76.29,29.934,17.441,71.773,20.275,29.277,30.351,24.219,27.055,74.339,68.445,18.329,40.234,62.991,45.866,65.795,19.862,24.944,62.408,28.23,28.037,6.468,59.973,66.606,48.839,64.366,51.202,33.032,37.921,11.822,72.637,61.918,13.368,32.288,39.244,11.793,75.694,17.246,66.771,57.47,81.362,14.882,75.584,63.396,48.198,41.357,59.248,30.088,25.887,25.681,44.817,4.317,19.39,75.386,52.285,57.526,38.847,29.242,58.435,44.428,9.223,23.691,39.631,48.355
22.077,40.854,35.618,27.549,29.504,36.581,0.0,22.787,65.955,49.721,56.45,46.807,10.793,30.462,33.9,23.895,9.344,57.798,10.671,26.583,29.177,10.874,21.978,33.254,38.224,5.519,57.48,57.796,25.126,39.197,44.869,44.507,41.77,60.313,57.931,44.296,52.892,19.507,53.969,37.6,56.701,43.315,32.685,38.583,40.717,50.023,31.901,54.16,57.275,27.092,25.591,30.244,16.725,57.679,29.467,53.309,32.388,30.115,45.91,49.04,17.378,28.587,32.343,4.426,6.064,45.874,43.667,39.986,46.299,20.158,2.772,25.013,39.397,33.323,49.961,30.944,47.729,21.731,40.423,41.881,30.975,5.252,64.547,13.089,24.919,20.513,8.724,34.161,28.01,48.432,63.039,64.989,28.916,39.851,47.822,15.958,45.575,58.887,33.2,53.024
28.206,62.591,13.809,19.418,42.714,36.724,22.787,0.0,45.107,26.944,64.384,65.225,25.613,51.58,35.884,40.251,13.444,62.725,17.109,46.549,11.476,33.026,22.719,54.827,60.395,20.658,49.554,37.564,39.307,17.808,67.124,32.552,63.767,54.787,61.323,22.811,40.527,6.94,51.066,44.058,50.18,62.07,17.699,56.646,59.461,39.082,44.292,44.526,42.298,44.589,12.089,48.395,27.192,61.606,34.605,63.974,18.202,32.907,24.6,29.907,22.292,46.32,15.136,25.471,28.656,36.822,40.387,62.756,36.349,41.519,24.234,28.064,53.264,49.198,30.185,25.701,52.293,29.595,48.69,27.568,11.603,21.926,45.021,34.014,12.253,40.78,23.194,38.895,18.496,70.475,45.521,46.159,6.981,59.937,25.276,17.441,40.777,59.442,54.805,34.646
61.23,106.786,41.182,60.408,86.05,64.304,65.955,45.107,0.0,23.659,90.797,96.236,70.676,86.405,64.706,85.28,57.267,87.347,56.92,91.438,51.42,73.899,56.106,99.124,99.057,65.555,63.162,8.511,83.623,43.972,110.76,45.676,101.634,70.254,85.013,42.086,73.478,46.504,71.543,84.425,66.045,93.422,36.581,88.113,90.996,73.723,86.727,57.105,25.2,89.688,53.904,93.501,62.188,85.671,75.586,91.948,38.439,63.01,44.531,57.359,65.673,91.423,53.547,66.433,70.89,54.959,78.831,104.93,52.937,78.767,68.061,59.985,96.86,80.618,55.586,65.949,91.8,62.697,89.111,63.112,49.792,66.791,5.497,71.825,43.818,75.946,68.296,68.167,47.477,114.378,13.094,7.799,38.142,92.216,30.372,61.517,62.98,81.002,91.827,16.044
52.749,89.162,18.146,37.139,63.443,58.194,49.721,26.944,23.659,0.0,85.406,89.817,50.655,76.914,58.354,64.748,40.383,82.239,43.117,72.589,28.5,59.689,47.092,81.383,86.816,47.112,59.537,18.233,61.861,20.347,93.899,40.537,90.023,66.653,80.046,18.461,49.959,32.204,66.799,60.774,62.05,86.746,27.872,81.306,84.165,50.179,63.637,53.209,29.18,69.511,31.418,73.503,52.22,80.641,52.074,86.313,30.183,56.191,20.95,33.82,43.63,71.288,30.109,52.045,55.524,49.777,55.226,89.699,47.865,67.376,51.155,52.135,74.277,73.747,32.059,42.371,68.179,54.218,65.459,39.498,26.713,48.393,25.916,59.898,33.312,66.064,48.662,61.843,39.287,97.147,28.463,27.816,21.15,84.788,6.759,40.284,57.6,76.39,80.767,18.448
