0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.0,44.681,22.485,8.997,44.188,49.824,73.776,43.575,29.264,16.995,37.235,61.7,70.718,76.698,23.706,106.34,11.293,72.153,17.772,72.22,39.171,42.027,61.43,82.869,15.856,28.81,73.623,74.545,78.261,50.534,29.864,29.799,66.85,16.344,84.519,35.068,37.591,50.43,78.202,105.452,44.145,38.219,60.359,26.855,29.552,80.736,17.37,59.995,73.257,65.913,77.289,49.718,45.718,53.783,15.716,46.322,59.126,46.61,34.879,38.658,36.173,26.23,60.845,25.471,102.613,56.15,53.691,78.372,38.48,68.337,22.205,32.463,76.611,54.595,51.079,76.193,20.181,32.748,74.672,81.78,82.062,73.91,78.604,48.096,95.691,63.062,9.254,32.106,64.569,34.79,101.393,75.29,58.453,99.062,61.136,69.587,22.13,71.319,30.116,59.374,69.088,93.876,99.55,80.452,65.67,93.727,25.742,55.221,69.022,77.798,28.872,62.2,39.621,20.161,74.838,49.743,3.373,37.643,83.685,69.698,17.913,73.246,78.574,64.803,68.005,21.552,80.365,78.898,35.127,17.095,60.777,69.568,84.665,71.741,36.96,65.055,63.473,17.454,62.48,9.087,69.614,36.076,31.735,36.103,67.124,51.484,12.085,29.722,6.701,46.757,72.15,81.732,53.562,21.798,67.749,47.694,96.247,32.521,85.627,111.398,73.934,60.13,44.014,44.396,11.0,17.254,65.151,15.769,107.342,23.267,9.15,57.536,46.042,90.151,76.134,33.898,20.734,32.111,82.644,51.438,45.574,88.71,46.347,18.658,53.118,73.744,39.08,32.562,62.081,83.144,76.558,18.259,43.953,92.535,64.135,14.686,16.986,31.539,98.466,68.664
44.681,0.0,39.213,53.173,13.445,46.92,57.617,46.256,31.132,61.487,13.824,32.758,51.694,35.12,24.928,61.667,55.1,30.317,28.627,41.987,33.163,41.209,25.171,38.624,43.114,15.891,49.42,56.081,48.06,16.802,25.082,47.179,30.331,58.218,43.507,45.314,35.651,26.755,45.542,60.911,19.198,21.602,30.411,25.764,28.244,36.089,31.677,22.265,45.951,45.866,36.909,46.981,46.386,41.709,35.645,7.51,14.508,44.397,14.864,8.025,39.408,18.975,18.184,39.817,58.293,40.363,13.262,47.633,39.147,33.39,48.354,33.013,47.176,29.135,12.625,31.557,45.962,43.746,61.036,52.731,60.603,65.114,62.899,47.59,51.01,53.427,35.756,23.887,40.203,12.003,57.165,65.455,17.816,54.469,34.937,39.622,33.757,35.726,45.477,16.665,37.956,50.747,56.146,41.967,54.892,50.296,33.611,31.72,52.168,33.289,15.986,17.589,41.188,64.83,54.863,37.448,43.511,16.834,39.016,55.955,30.703,58.145,34.012,59.139,56.056,50.06,39.677,41.598,18.222,37.555,32.061,38.11,40.262,41.26,31.238,20.822,35.807,57.246,28.364,53.099,41.972,25.009,25.102,22.998,50.609,17.708,53.997,35.551,43.052,11.021,30.791,42.157,45.964,43.806,39.628,21.236,53.507,25.914,42.08,66.88,41.05,17.617,25.326,23.177,36.584,41.037,26.756,40.989,63.134,50.802,47.897,54.173,49.372,47.976,46.416,23.688,25.861,15.095,38.386,8.506,18.77,45.932,25.164,49.867,23.834,43.451,5.665,47.844,33.461,50.46,57.44,39.264,15.143,49.621,45.319,45.655,61.167,39.969,54.347,42.79
22.485,39.213,0.0,29.925,45.489,64.242,51.779,21.116,10.303,35.674,39.196,43.811,49.273,74.321,14.867,97.256,25.744,69.52,14.885,53.653,18.464,56.199,46.729,72.675,35.56,27.185,53.138,84.869,59.238,37.106,14.987,48.72,51.52,25.175,82.693,52.298,50.457,56.375,81.953,98.0,29.254,22.709,43.051,13.516,12.476,72.1,29.54,60.026,79.558,44.95,63.213,64.187,60.967,32.168,8.392,37.029,52.794,60.904,37.217,36.969,13.843,22.331,57.39,42.282,96.008,35.065,42.821,83.168,16.266,52.072,9.411,11.913,57.441,60.308,39.809,67.678,40.351,49.861,52.395,62.178,91.447,87.959,56.443,25.611,87.184,76.167,17.634,16.993,71.715,27.211,90.467,89.027,56.556,91.462,42.357,51.16,36.186,55.042,48.377,55.866,51.141,81.368,94.868,80.625,78.522,81.627,39.465,36.443,79.701,68.6,25.34,55.728,17.217,37.148,53.385,60.488,19.136,24.952,75.177,81.661,29.268,51.139,71.655,79.469,45.719,11.441,78.807,79.864,39.646,33.727,42.937,51.698,78.156,76.39,47.991,55.98,44.895,22.557,46.596,24.897,50.398,19.121,15.944,43.236,45.42,37.78,34.223,43.924,27.498,35.738,69.95,66.793,66.621,4.754,48.86,31.99,92.537,41.503,74.055,103.954,56.229,49.544,50.969,50.281,13.182,35.792,65.009,6.917,100.98,11.815,31.454,72.505,62.277,76.762,57.091,18.244,27.75,33.74,76.582,42.77,49.139,85.002,28.912,12.434,36.976,78.582,34.943,51.182,67.055,87.036,54.896,35.768,30.998,79.821,73.669,35.596,36.532,9.065,87.379,75.391
8.997,53.173,29.925,0.0,51.533,52.092,81.676,50.613,37.719,8.346,44.706,70.583,78.921,84.202,32.696,114.82,8.275,79.764,26.768,81.062,47.483,44.804,70.427,91.564,17.509,37.287,82.146,78.125,87.061,59.526,38.733,30.09,75.846,14.286,91.822,36.334,41.325,56.296,84.115,113.696,53.125,47.149,69.28,35.749,38.24,89.262,23.743,67.219,78.424,74.284,86.264,51.962,47.68,61.875,24.169,55.158,67.519,49.087,42.381,46.766,43.768,35.035,68.764,27.976,110.731,64.454,62.577,83.955,46.18,77.319,27.313,40.721,85.388,60.401,60.001,84.729,20.342,34.282,82.311,90.501,85.907,75.696,86.367,55.249,104.131,65.597,18.212,40.996,69.622,43.65,110.108,77.217,66.118,107.355,69.926,78.439,26.805,80.303,30.971,67.325,77.982,102.746,107.335,87.325,68.266,102.566,30.103,63.989,72.563,86.407,37.557,70.579,47.118,11.994,83.044,53.836,11.579,46.64,92.18,72.635,24.505,81.059,86.878,66.448,75.635,26.013,87.65,85.589,42.092,21.153,69.661,78.469,92.865,77.483,41.588,73.724,72.293,17.044,71.467,6.972,78.37,44.891,40.577,42.249,75.199,60.478,5.201,33.39,10.949,55.689,79.671,90.724,56.416,28.203,76.544,56.66,103.858,38.279,94.442,119.619,82.855,68.963,49.804,50.514,19.793,19.761,72.32,23.009,115.397,27.659,8.199,59.211,47.366,99.082,84.928,42.78,28.256,39.903,90.785,60.175,52.314,96.376,55.208,22.867,62.081,79.39,47.528,32.89,67.921,88.942,84.667,21.418,52.947,101.421,68.281,15.029,8.055,38.925,107.204,73.774
44.188,13.445,45.489,51.533,0.0,33.982,70.917,56.763,39.593,59.786,6.987,46.182,65.067,32.674,30.661,65.831,55.395,28.303,31.935,55.207,44.014,29.036,38.096,45.506,37.87,18.349,62.858,43.276,61.18,30.247,33.651,38.162,42.951,59.642,40.346,34.877,24.118,13.494,36.466,63.467,31.904,32.844,43.825,33.204,36.803,41.477,27.916,15.815,34.751,59.226,47.795,34.059,33.956,54.279,39.761,20.95,20.559,31.702,9.34,9.125,49.099,23.16,18.243,31.713,60.072,53.296,26.019,37.761,49.36,46.212,53.737,42.29,60.383,16.39,25.905,37.323,39.483,33.765,74.228,65.894,48.412,51.694,76.224,58.767,55.105,39.982,36.573,33.212,27.913,20.747,63.372,52.068,14.86,57.432,48.38,52.903,27.264,48.33,36.263,17.032,51.168,58.901,55.977,36.467,41.465,58.094,25.767,45.026,39.075,39.656,20.174,23.004,51.445,63.527,68.284,24.091,44.025,27.927,43.971,42.668,27.087,71.392,37.522,45.725,69.044,55.034,36.185,35.185,9.739,32.349,45.495,51.286,42.777,31.02,19.782,29.199,49.241,59.481,41.497,53.222,55.36,35.567,34.332,12.348,63.843,31.15,51.044,26.227,40.646,24.423,28.152,53.198,32.652,49.582,53.018,34.361,52.355,16.425,50.057,69.235,53.978,28.694,12.108,9.853,38.93,35.439,20.983,45.274,64.52,56.117,44.777,40.937,37.118,57.166,59.609,33.613,23.461,12.47,40.485,20.781,5.34,44.92,37.898,54.093,37.26,33.23,12.792,38.193,22.031,41.55,70.853,33.464,28.001,58.055,32.267,40.763,59.071,48.542,60.88,31.019
49.824,46.92,64.242,52.092,33.982,0.0,102.507,81.917,63.267,58.052,33.872,79.409,97.115,54.475,52.551,92.205,59.531,52.137,49.661,88.901,71.018,8.065,71.989,76.287,34.734,42.308,95.871,27.196,94.977,63.374,58.712,22.858,76.924,65.446,58.77,16.084,13.91,23.653,42.222,87.721,63.134,61.792,77.116,56.76,61.178,71.195,35.004,39.863,33.295,91.272,81.323,0.183,4.602,84.009,56.081,54.173,53.222,3.341,33.994,40.012,73.449,46.201,47.887,24.424,83.462,83.987,59.929,40.199,74.642,80.15,69.173,66.836,94.091,24.843,59.545,67.783,31.91,17.878,105.303,99.65,35.27,24.145,107.872,85.157,82.18,13.526,47.924,59.432,25.613,49.577,92.463,25.474,43.505,82.806,81.212,86.512,28.573,82.308,21.485,47.358,84.873,90.209,76.706,51.478,16.206,89.096,25.025,77.093,21.819,70.414,44.845,54.991,76.594,61.996,100.647,11.176,51.919,57.402,73.024,20.794,35.118,102.741,65.827,15.27,99.486,69.408,55.184,48.658,30.133,32.803,78.653,85.03,69.222,35.733,17.307,62.072,82.381,67.152,75.277,57.504,88.713,63.146,60.193,24.94,95.255,64.359,48.446,20.6,43.305,57.39,51.173,86.741,5.412,66.574,86.371,66.25,71.92,24.219,81.549,92.719,87.887,62.549,21.905,24.228,52.283,32.792,42.628,60.381,86.862,70.994,43.954,8.302,6.744,89.421,93.333,60.594,36.711,36.245,66.758,54.735,29.173,66.015,68.793,67.108,70.042,36.706,44.16,20.383,29.354,45.721,103.113,31.58,59.752,89.645,20.06,37.063,56.498,70.92,90.46,29.152
73.776,57.617,51.779,81.676,70.917,102.507,0.0,32.398,44.914,87.272,68.909,26.784,6.463,81.432,53.856,82.292,77.167,77.662,59.327,24.058,34.962,95.517,37.683,61.618,83.96,60.749,13.423,113.533,23.583,41.115,46.609,94.75,36.418,75.313,88.611,95.962,89.382,84.352,99.322,87.109,39.446,41.127,29.055,49.444,45.472,65.389,74.246,76.884,102.127,11.888,44.806,102.529,100.872,20.147,58.141,50.163,60.568,99.543,68.544,63.002,37.97,57.816,68.725,87.149,87.663,18.821,47.437,102.245,35.515,33.244,56.825,41.442,22.146,86.695,46.183,63.028,88.566,93.753,4.579,22.069,117.488,122.55,5.365,27.803,76.081,110.692,66.691,45.039,97.435,52.958,72.001,122.973,71.29,81.636,23.568,24.32,80.063,33.933,93.734,67.816,26.439,60.746,91.434,91.269,112.314,62.14,82.114,25.9,109.768,61.81,58.313,61.583,34.751,88.337,6.103,94.327,70.545,45.186,67.684,113.559,73.505,1.648,69.391,116.032,7.402,58.922,86.338,92.301,72.393,80.251,27.116,26.844,74.677,96.682,85.38,55.671,23.834,72.016,33.87,76.55,20.484,40.775,44.724,77.574,7.274,40.377,85.782,85.886,77.633,46.61,78.849,43.76,102.565,54.221,22.072,36.605,91.887,78.661,58.608,91.93,28.579,49.607,82.204,80.277,63.145,83.285,79.705,58.689,92.226,57.87,82.248,110.392,103.311,54.9,22.665,43.456,69.396,66.308,74.68,52.306,76.252,86.154,33.714,61.613,33.971,98.72,58.817,96.588,90.285,103.614,4.935,82.492,43.075,59.049,102.916,84.915,88.234,42.915,69.224,99.585
43.575,46.256,21.116,50.613,56.763,81.917,32.398,0.0,18.65,55.462,51.966,34.056,31.42,79.495,29.366,94.395,45.293,74.845,32.961,41.334,13.11,74.084,41.568,70.085,56.26,40.577,37.199,99.323,45.623,35.931,23.678,68.872,44.67,43.023,87.794,71.712,68.02,69.547,91.775,96.83,28.744,24.668,34.472,25.225,20.876,71.282,48.75,68.518,91.427,28.612,56.72,81.889,79.186,15.693,28.919,40.86,56.51,78.644,50.597,47.641,8.496,36.076,63.203,61.929,95.801,19.776,43.45,93.733,7.466,43.738,24.555,15.141,43.705,72.991,40.665,67.382,61.052,69.311,32.202,47.344,105.03,104.72,36.516,4.7,85.46,92.683,38.225,23.649,84.601,36.021,85.896,105.569,63.832,90.461,31.18,39.363,55.291,46.314,68.305,61.819,40.187,75.453,96.628,87.603,94.81,76.186,58.179,26.549,94.578,67.474,38.105,58.895,5.403,56.234,35.302,76.314,40.213,29.442,74.249,97.293,48.264,31.471,72.68,96.81,25.618,26.59,84.397,87.556,53.925,53.786,33.432,40.808,79.093,87.208,64.83,56.391,33.679,39.668,39.692,44.91,37.233,21.345,22.608,58.501,27.112,36.039,55.146,62.503,48.539,38.002,75.628,58.813,83.463,22.472,36.497,29.133,95.347,57.944,69.759,102.533,45.111,49.213,65.283,64.006,33.992,56.222,72.882,27.843,100.791,25.486,52.57,90.207,80.935,70.059,43.609,23.151,45.461,47.4,78.085,45.876,61.486,88.23,24.309,29.382,31.799,89.419,44.191,71.168,78.71,96.712,36.259,55.941,32.471,73.753,88.056,56.527,56.567,12.175,82.787,87.781
29.264,31.132,10.303,37.719,39.593,63.267,44.914,18.65,0.0,44.398,34.123,33.834,41.517,66.075,10.717,87.294,34.9,61.284,14.891,43.937,9.984,55.445,36.427,62.659,39.285,22.315,44.427,81.258,49.719,26.946,6.086,51.049,41.229,35.098,74.483,53.415,49.372,51.761,75.645,88.297,19.02,12.522,32.94,6.685,2.891,62.34,30.6,52.923,74.306,36.649,52.91,63.24,60.568,24.776,13.574,27.798,43.861,59.996,32.531,30.566,10.207,17.619,49.19,43.823,86.476,26.907,33.006,77.235,11.456,41.851,19.471,3.729,47.978,55.415,29.977,57.98,43.987,51.044,46.264,52.937,87.275,86.143,49.931,22.077,77.351,74.124,21.777,7.411,67.022,19.474,80.302,87.023,48.897,81.765,32.653,41.384,36.998,44.832,50.316,47.695,41.222,71.099,85.765,73.076,76.29,71.383,39.727,26.691,76.374,58.767,19.95,46.683,13.346,46.327,45.63,57.831,26.211,15.392,65.416,78.907,30.025,44.529,62.248,78.171,39.7,21.619,70.736,72.594,35.649,36.086,32.941,41.761,68.773,70.549,46.193,46.308,35.134,32.692,36.324,33.718,40.925,8.829,6.215,40.043,38.057,27.579,41.349,43.99,32.726,26.084,61.839,56.505,64.852,14.906,39.239,21.688,83.693,39.321,63.871,94.226,46.272,39.668,47.099,45.987,18.372,38.854,57.692,15.875,91.469,21.763,37.411,71.556,62.378,66.465,47.572,8.267,26.903,29.201,67.317,33.49,43.931,76.233,18.71,22.734,26.691,72.764,27.728,53.195,61.605,80.687,47.427,38.303,21.05,69.544,69.972,40.065,45.014,8.982,77.206,70.419
16.995,61.487,35.674,8.346,59.786,58.052,87.272,55.462,44.398,0.0,52.993,77.817,84.945,92.46,40.414,123.145,10.171,88.046,34.638,88.177,53.861,51.186,78.198,99.819,24.402,45.597,88.647,84.647,94.067,67.371,46.056,35.385,83.559,14.004,100.026,42.011,48.278,64.076,91.826,122.042,60.726,54.581,76.628,43.147,45.243,97.575,31.915,75.423,85.806,80.573,94.185,57.91,53.522,67.839,31.104,63.317,75.853,55.222,50.676,55.112,49.335,43.214,77.096,34.652,119.074,70.693,70.683,91.518,51.828,84.894,31.145,47.106,92.348,68.139,68.057,93.039,26.21,40.191,87.565,97.335,92.546,81.081,91.762,60.157,112.462,71.568,26.238,48.354,76.982,51.786,118.354,82.688,74.417,115.7,76.95,85.58,34.449,87.888,36.589,75.66,85.234,110.869,115.641,95.403,74.251,110.722,37.552,70.988,79.095,94.696,45.804,78.915,52.522,4.018,89.055,60.818,19.017,54.406,100.5,78.801,32.712,86.543,95.222,71.823,80.916,29.399,95.852,93.606,50.281,28.758,76.902,85.74,101.211,85.136,48.96,81.989,79.376,17.57,79.074,10.78,85.301,52.067,47.833,50.203,81.06,68.301,9.759,40.465,19.14,63.728,87.935,98.55,62.678,33.091,83.561,64.186,112.132,46.133,102.62,127.965,90.177,77.124,57.587,58.414,27.229,26.851,80.504,28.894,123.736,30.856,15.493,64.689,52.801,107.115,91.923,50.108,36.579,48.236,99.13,68.404,60.411,104.663,62.433,26.345,69.588,86.994,55.849,38.082,75.645,96.593,90.532,28.68,60.776,109.524,75.182,21.578,1.868,44.364,115.437,81.144
