0,1,2,3,4,5,6,7,8,9
[nan],[2.],[2.],[2.],[2.],[2.],[2.],[2.],[2.],[2.]
[2.],[nan],[2.],[2.],[2.],[2.],[2.],[2.],[2.],[2.]
[2.],[2.],[nan],[2.],[2.],[2.],[2.],[2.],[2.],[2.]
[2.],[2.],[2.],[nan],[2.],[2.],[2.],[2.],[2.],[2.]
[2.],[2.],[2.],[2.],[nan],[2.],[2.],[2.],[2.],[2.]
[2.],[2.],[2.],[2.],[2.],[nan],[2.],[2.],[2.],[2.]
[2.],[2.],[2.],[2.],[2.],[2.],[nan],[2.],[2.],[2.]
[2.],[2.],[2.],[2.],[2.],[2.],[2.],[nan],[2.],[2.]
[2.],[2.],[2.],[2.],[2.],[2.],[2.],[2.],[nan],[2.]
[2.],[2.],[2.],[2.],[2.],[2.],[2.],[2.],[2.],[nan]
