0,1,2,3,4,5,6,7,8,9
0.0,60.688,42.733,44.151,53.286,15.27,22.861,29.283,66.167,53.223
60.688,0.0,80.745,64.647,39.564,72.344,45.82,70.144,119.835,99.587
42.733,80.745,0.0,20.306,49.765,52.716,37.285,13.815,43.582,19.98
44.151,64.647,20.306,0.0,30.031,57.925,28.134,20.176,63.888,40.093
53.286,39.564,49.765,30.031,0.0,68.515,30.428,44.265,92.991,69.744
15.27,72.344,52.716,57.925,68.515,0.0,38.107,40.598,66.078,58.561
22.861,45.82,37.285,28.134,30.428,38.107,0.0,24.94,74.029,54.6
29.283,70.144,13.815,20.176,44.265,40.598,24.94,0.0,50.209,29.667
66.167,119.835,43.582,63.888,92.991,66.078,74.029,50.209,0.0,24.24
53.223,99.587,19.98,40.093,69.744,58.561,54.6,29.667,24.24,0.0
