0,1,2,3,4,5,6,7,8,9
0.0,56.068,41.746,37.464,51.254,14.335,21.921,27.982,59.582,52.704
56.068,0.0,69.804,59.21,39.321,69.91,38.592,59.172,100.816,84.563
41.746,69.804,0.0,18.942,43.572,47.895,35.227,13.809,40.537,17.425
37.464,59.21,18.942,0.0,25.462,48.764,27.463,19.259,59.479,36.162
51.254,39.321,43.572,25.462,0.0,65.574,29.333,42.401,83.732,60.996
14.335,69.91,47.895,48.764,65.574,0.0,36.247,35.149,63.999,58.166
21.921,38.592,35.227,27.463,29.333,36.247,0.0,21.982,62.257,47.844
27.982,59.172,13.809,19.259,42.401,35.149,21.982,0.0,42.915,25.873
59.582,100.816,40.537,59.479,83.732,63.999,62.257,42.915,0.0,23.566
52.704,84.563,17.425,36.162,60.996,58.166,47.844,25.873,23.566,0.0
