City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,3/30/2015,44.19,57.0,7.11,17.6,19.91,28.77,9.58,7.75,26.81,1.45,3.4,1.53,268.0,Poor
Amaravati,3/27/2018,30.21,67.22,5.11,11.29,10.25,11.24,0.58,13.19,20.89,0.01,1.96,0.1,74.0,Satisfactory
Aizawl,3/26/2020,54.9,62.7,2.96,0.13,3.69,25.48,0.42,6.8,5.87,0.25,0.92,,89.0,Satisfactory
Hyderabad,1/19/2017,67.09,109.2,10.09,38.78,9.6,14.4,0.0,3.76,66.33,0.02,0.16,0.03,104.0,Moderate
Guwahati,5/12/2020,43.02,72.78,10.4,15.35,15.23,10.77,0.6,14.96,33.72,0.0,,,90.0,Satisfactory
Lucknow,10/12/2017,95.02,,12.35,44.26,29.05,10.09,0.79,6.5,23.52,1.59,4.44,,182.0,Moderate
Delhi,6/3/2018,59.52,140.21,16.93,31.51,43.09,43.82,0.84,7.79,57.87,1.32,3.37,0.0,154.0,Moderate
Jorapokhar,1/31/2019,128.32,234.17,10.15,10.35,,6.33,,84.29,29.38,,,,262.0,Poor
Delhi,12/21/2018,252.2,403.18,74.98,66.03,103.06,57.91,2.22,15.9,38.38,7.39,46.63,2.46,422.0,Severe
Ahmedabad,9/28/2018,25.9,,40.29,165.62,110.86,,40.29,56.95,37.07,3.94,16.02,0.65,680.0,Severe
Lucknow,2/8/2018,169.06,,10.91,36.42,27.34,53.47,0.81,12.08,42.86,0.49,0.8,,299.0,Poor
Ahmedabad,7/30/2017,,,,,,,,,,,,,,
Talcher,3/2/2018,198.3,392.54,113.49,32.55,118.98,28.91,2.43,50.51,26.23,0.0,0.0,,365.0,Very Poor
Amritsar,8/30/2019,37.27,62.08,22.98,11.54,31.46,12.7,0.47,6.96,18.45,2.12,1.11,2.0,60.0,Satisfactory
Mumbai,1/12/2020,98.12,194.66,57.3,38.02,92.98,26.77,1.47,10.84,33.46,8.98,,,211.0,Poor
Jorapokhar,5/20/2020,45.54,150.51,23.52,10.76,,8.72,0.83,24.54,26.53,,,,138.0,Moderate
Delhi,4/19/2018,89.49,282.24,27.08,51.78,62.47,35.35,1.19,16.76,53.3,2.44,3.63,0.0,242.0,Poor
Chennai,5/21/2019,23.34,,7.32,14.83,22.14,,1.0,5.34,28.86,0.04,0.07,,71.0,Satisfactory
Patna,4/25/2018,127.1,,18.06,60.37,30.04,,1.64,49.87,80.45,0.4,3.17,1.46,322.0,Very Poor
Visakhapatnam,9/23/2016,19.93,33.15,10.92,20.31,18.05,11.57,0.94,15.79,35.97,3.58,6.16,4.18,90.0,Satisfactory
Patna,4/29/2020,15.21,41.96,79.67,13.5,69.42,10.13,0.42,9.37,33.08,0.69,1.24,0.73,111.0,Moderate
Coimbatore,8/13/2019,30.14,36.58,9.75,8.29,18.03,26.29,1.37,8.93,17.27,0.02,0.0,,73.0,Satisfactory
