id;NUMBER_OF_INSTALMENTS;TYPE_OF_LEASE;CAR_PRICE;DOWNPAYMENT_TO_CAR_PRICE;RESIDUAL_VALUE_TO_CAR_PRICE;LEGAL_FORM_group;WHETHER_CUSTOMER_BEFORE;CUSTOMER_FOR;NET_ASSETS;ANNUAL_TURNOVER_LAST_YEAR;ANNUAL_COSTS;ANNUAL_INCOME_LAST_YEAR;NUMBER_OF_EMPLOYEES;COMPANY_AGE;REGION;PKD_group;PKD_section;EMAIL;PHONE;TYPE_OF_VEHICLE;VEHICLE_AGE;FRAUD
6999;36;FL;57967.48;0.4500;0.0100;freelancer;yes;0;?;4115171;0;1876689;3;22;Zielona_Gora_Lubuskie;services;H;NO;YES;PKW;0;NO
7000;36;FL;77600;0.4500;0.0100;freelancer;no;0;0;838328.65;36000;68922.89;1;14;Szczecin_Pomorze_Zachodnie;services;M;NO;YES;PKW;0;NO
7001;36;FL;42479.66;0.1000;0.2000;capital_company;no;0;3778303;1259878;0;763108;10;0;Bydgoszcz_Torun_Kujawy;services;N;NO;NO;PKW;0;YES
7002;36;FL;42479.66;0.1000;0.2000;capital_company;no;0;3778303;1259878;0;763108;10;0;Bydgoszcz_Torun_Kujawy;services;N;NO;NO;PKW;0;YES
7003;36;FL;39180.33;0.3500;0.0100;freelancer;no;0;0;337854.45;0;26816.89;1;2;Gdansk_Gdynia_Pomorze_Gdanskie;production;C;NO;YES;PKW;0;NO
7004;36;FL;72950.82;0.1000;0.2000;freelancer;no;0;?;4374439.46;0;27555.9;1;13;Warszawa_Mazowsze;sale;G;NO;YES;PKW;0;YES
7005;24;FL;66942.62;0.4494;0.1900;freelancer;no;0;?;0;0;0;0;0;Warszawa_Mazowsze;services;R;NO;YES;PKW;0;NO
7006;36;FL;61500;0.2000;0.0100;freelancer;yes;0;0;797228.11;0;97557.17;7;16;Poznan_Wielkopolska;?;?;NO;NO;PKW;0;NO
7007;36;FL;61500;0.2000;0.0100;freelancer;yes;0;0;797228.11;0;97557.17;7;16;Poznan_Wielkopolska;?;?;NO;NO;PKW;0;NO
7008;24;FL;70650.41;0.4500;0.2500;capital_company;yes;3;1533662.53;1658300;0;331780;12;22;Kielce_Radom_Gory_Swietokrzyskie;services;M;NO;YES;PKW;0;NO
7009;60;FL;40516.39;0.2000;0.0100;freelancer;no;0;0;303500;0;75000;7;9;Warszawa_Mazowsze;services;I;NO;YES;PKW;0;NO
7010;36;FL;74634.15;0.4500;0.0100;freelancer;yes;2;?;1430616.95;37800;491490.99;18;23;Bydgoszcz_Torun_Kujawy;education;P;NO;YES;PKW;0;NO
7011;37;FL;98111.48;0.4000;0.0100;capital_company;yes;0;7850476;17325116;0;331266;23;7;Warszawa_Mazowsze;building;F;YES;YES;PKW;1;NO
7012;37;FL;98659.01;0.4000;0.0100;capital_company;yes;0;7850476;17325116;0;331266;23;7;Warszawa_Mazowsze;building;F;YES;YES;PKW;1;NO
7013;48;FL;61000;0.3000;0.0100;capital_company;yes;0;7850476;17325116;0;331266;23;7;Warszawa_Mazowsze;building;F;YES;YES;PKW;0;NO
7014;48;FL;105691.06;0.3000;0.0100;capital_company;yes;0;7850476;17325116;0;331266;23;7;Warszawa_Mazowsze;building;F;YES;YES;PKW;1;NO
7015;60;FL;123704.92;0.4500;0.0100;capital_company;no;0;3613054.46;10663849;0;897;20;0;Warszawa_Mazowsze;sale;G;NO;YES;PKW;0;NO
7016;60;FL;124959.35;0.4500;0.0100;capital_company;yes;3;3613054.46;10663849;0;897;20;3;Warszawa_Mazowsze;sale;G;NO;YES;PKW;0;NO
7017;36;FL;43089.43;0.1462;0.0100;civil_partnership;yes;3;?;623128.62;0;18550.36;3;22;Katowice_Gorny_Slask;sale;G;NO;YES;PKW;1;NO
7018;36;FL;42113.82;0.3000;0.0100;capital_company;yes;0;45211385.4;55733812.8;0;440832.05;124;11;Warszawa_Mazowsze;services;J;NO;YES;PKW;0;NO
7019;36;FL;133333.33;0.2000;0.0100;capital_company;yes;2;45211385.4;55733812.8;0;440832.05;124;13;Warszawa_Mazowsze;services;J;NO;YES;PKW;1;NO
7020;48;FL;101967.21;0.3000;0.0100;freelancer;no;0;0;0;0;0;0;0;Gdansk_Gdynia_Pomorze_Gdanskie;services;H;NO;YES;PKW;0;NO
7021;36;FL;77700;0.2000;0.0100;freelancer;yes;3;0;2300623;0;212649;4;6;Opole_Dolny_Slask;sale;G;NO;YES;PKW;0;NO
7022;36;FL;110500;0.1000;0.0100;freelancer;no;0;0;5899745.48;0;348842.54;30;11;Kielce_Radom_Gory_Swietokrzyskie;production;C;NO;YES;PKW;0;NO
7023;24;FL;45203.25;0.2000;0.1900;freelancer;yes;1;0;5899745.48;0;348842.54;30;13;Kielce_Radom_Gory_Swietokrzyskie;production;C;NO;YES;PKW;0;NO
7024;37;FL;264344.26;0.4500;0.0100;freelancer;no;0;?;142774.64;0;103130.54;1;2;Wroclaw_Dolny_Slask;services;M;NO;YES;PKW;0;NO
7025;48;FL;77640.16;0.1000;0.0100;freelancer;no;0;0;0;0;0;2;1;Opole_Dolny_Slask;building;F;NO;YES;PKW;1;NO
7026;36;FL;44531.15;0.3000;0.0100;freelancer;no;0;?;0;0;0;1;0;Gdansk_Gdynia_Pomorze_Gdanskie;services;N;NO;NO;PKW;0;NO
7027;36;FL;38389.34;0.2000;0.0100;capital_company;no;0;3968587;6576932;0;139147;19;15;Warszawa_Mazowsze;production;C;NO;YES;PKW;0;NO
7028;36;FL;99500;0.4500;0.0100;freelancer;no;0;?;977359.93;0;54031.62;7;8;Warszawa_Mazowsze;services;H;NO;YES;PKW;0;NO
7029;60;FL;48373.98;0.1000;0.0100;freelancer;yes;1;0;6539724.27;0;68980.69;0;6;Lodz_Ziemia_Lodzka;sale;G;NO;NO;PKW;0;NO
7030;24;FL;42682.93;0.4000;0.1900;freelancer;yes;1;0;6539724.27;0;68980.69;0;6;Lodz_Ziemia_Lodzka;sale;G;NO;NO;PKW;0;NO
7031;36;FL;38524.59;0.3000;0.0100;freelancer;no;0;?;0;0;0;1;0;Poznan_Wielkopolska;services;M;NO;NO;PKW;0;NO
7032;60;FL;187991.8;0.2180;0.1000;personal_company;no;0;0;1414258.14;0;143570.78;5;2;Katowice_Gorny_Slask;sale;G;NO;YES;PKW;0;NO
7033;24;FL;335245.9;0.1000;0.1900;capital_company;no;0;3919000;7146000;0;1019000;0;3;Warszawa_Mazowsze;services;N;NO;YES;PKW;0;NO
7034;24;FL;110250.41;0.3000;0.2000;capital_company;yes;1;3919000;7146000;0;1019000;0;4;Warszawa_Mazowsze;services;N;NO;YES;PKW;0;NO
